property,original_index,s999_pass,s999_complete,s999_errors,s123_pass,s123_complete,s123_errors,s42_pass,s42_complete,s42_errors
no-overflow,0,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 4, ""column"": 30}, ""data"": ""unsolved goals\n\u22a2 IO \u2124""}]",True,True,[],True,True,[]
valid-memsafety,1,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 9}, ""endPos"": {""line"": 5, ""column"": 20}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 22}, ""endPos"": {""line"": 14, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 9}, ""endPos"": {""line"": 5, ""column"": 20}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 10}, ""endPos"": {""line"": 11, ""column"": 23}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 25, ""column"": 56}, ""endPos"": {""line"": 25, ""column"": 58}, ""data"": ""unexpected token '-'; expected '}'""}]",True,True,[]
unreach-call,2,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]"
no-overflow,3,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 30}, ""data"": ""unsolved goals\nn : \u2115\n\u22a2 Unit""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 0}, ""endPos"": {""line"": 5, ""column"": 16}, ""data"": ""type mismatch\n  fun x =>\n    let k := x;\n    if k < 3 then k else f (k - 1)\nhas type\n  \u2115 \u2192 \u2115 : Type\nbut is expected to have type\n  \u2115 : Type""}, {""severity"": ""error"", ""pos"": {""line"": 18, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 17, ""column"": 28}, ""endPos"": {""line"": 18, ""column"": 30}, ""data"": ""unsolved goals\nn : \u2115\n\u22a2 \u2203 (result : \u2115), f n = result""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 30}, ""data"": ""unsolved goals\nn : \u2115\n\u22a2 Unit""}]"
termination,4,True,True,[],True,True,[],True,True,[]
termination,5,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 52}, ""endPos"": {""line"": 11, ""column"": 30}, ""data"": ""unsolved goals\ninput : \u2124\n\u22a2 SquareRootState""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 43}, ""endPos"": {""line"": 4, ""column"": 30}, ""data"": ""unsolved goals\nn : \u2124\n\u22a2 Bool""}]",True,True,[]
unreach-call,6,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 19, ""column"": 12}, ""endPos"": {""line"": 20, ""column"": 4}, ""data"": ""unexpected token 'in'; expected term""}]",True,True,[]
unreach-call,7,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 28}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nx : Nat\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 28}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nx : Nat\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 28}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unsolved goals\nInt : Sort ?u.5\nx : Int\n\u22a2 Int""}]"
unreach-call,8,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 4}, ""endPos"": {""line"": 3, ""column"": 20}, ""data"": ""failed to compile definition, consider marking it as 'noncomputable' because it depends on 'Lean.Order.Example.find', and it does not have executable code""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 42}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 40}, ""endPos"": {""line"": 4, ""column"": 42}, ""data"": ""unsolved goals\nNat : Sort ?u.9\n\u03b1 : Type\nmax : Nat\n\u22a2 ?m.13 \u03b1 max""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 11}, ""endPos"": {""line"": 10, ""column"": 15}, ""data"": ""unknown constant 'Repr'""}, {""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 37}, ""endPos"": {""line"": 12, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 35}, ""endPos"": {""line"": 11, ""column"": 37}, ""data"": ""unsolved goals\nProgramState : Sort ?u.5\n\u22a2 ProgramState""}]"
termination,9,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 11}, ""endPos"": {""line"": 7, ""column"": 15}, ""data"": ""unknown constant 'Repr'""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 16}, ""endPos"": {""line"": 10, ""column"": 6}, ""data"": ""unexpected token 'if'; expected term""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 30}, ""endPos"": {""line"": 8, ""column"": 49}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 22, ""column"": 46}, ""endPos"": {""line"": 23, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 22, ""column"": 44}, ""endPos"": {""line"": 22, ""column"": 46}, ""data"": ""unsolved goals\nProgramState : Sort ?u.50\ns : ProgramState\n\u22a2 Prop""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 44}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 42}, ""endPos"": {""line"": 3, ""column"": 44}, ""data"": ""unsolved goals\nInt : Sort ?u.15\nNat : Sort ?u.21\nx y z : Int\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 64}, ""endPos"": {""line"": 9, ""column"": 30}, ""data"": ""unsolved goals\nstate : ProgramState\n\u22a2 Option ProgramState""}]"
