property,original_index,s42_pass,s42_errors,s123_pass,s123_complete,s123_errors,s999_pass,s999_complete,s999_errors,s42_complete
no-overflow,0,False,no code,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 0}, ""endPos"": {""line"": 3, ""column"": 12}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 16}, ""data"": ""unknown constant 'Lean.Name'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 51}, ""endPos"": null, ""data"": ""expected token""}]",
valid-memsafety,1,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 14}, ""data"": ""unknown namespace 'System.IO'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 21}, ""data"": ""unknown namespace 'Std.Tactic.Guard'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 6, ""column"": 21}, ""data"": ""unknown namespace 'Std.Tactic.Abort'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 21}, ""endPos"": {""line"": 7, ""column"": 23}, ""data"": ""unexpected token 'by'; expected command""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 18}, ""endPos"": {""line"": 12, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 16}, ""endPos"": {""line"": 11, ""column"": 18}, ""data"": ""unsolved goals\n\u22a2 ?m.2""}]",False
unreach-call,2,False,"[{""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 51}, ""endPos"": {""line"": 16, ""column"": 30}, ""data"": ""unsolved goals\nn : \u2115\n\u22a2 id_lean n = n""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False,,no code,False
no-overflow,3,True,[],True,True,[],True,True,[],True
termination,4,True,[],True,True,[],True,True,[],True
termination,5,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 30}, ""endPos"": null, ""data"": ""expected token""}]",False,,no code,True
unreach-call,6,False,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 9}, ""endPos"": null, ""data"": ""expected token""}]",True,True,[],
unreach-call,7,False,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 4}, ""endPos"": {""line"": 3, ""column"": 6}, ""data"": ""'id' has already been declared""}]",
unreach-call,8,False,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 2}, ""endPos"": {""line"": 8, ""column"": 14}, ""data"": ""unexpected constructor resulting type\n  Nat""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 15}, ""endPos"": null, ""data"": ""expected token""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 47}, ""endPos"": {""line"": 10, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 29}, ""endPos"": {""line"": 9, ""column"": 41}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 45}, ""endPos"": {""line"": 9, ""column"": 47}, ""data"": ""unsolved goals\nState : Sort ?u.19\nx\u271d : Sort ?u.16\nOption : x\u271d\ns : State\n\u22a2 ?m.22""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 9}, ""data"": ""unknown namespace 'Lean'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 18}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 16}, ""endPos"": {""line"": 4, ""column"": 18}, ""data"": ""unsolved goals\nBool : Sort ?u.5\n\u22a2 Bool""}]",
termination,9,False,no code,True,True,[],False,,no code,
no-overflow,10,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 9}, ""data"": ""unknown namespace 'Lean'""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 17}, ""endPos"": {""line"": 3, ""column"": 19}, ""data"": ""unexpected token 'by'; expected command""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 22}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 20}, ""endPos"": {""line"": 4, ""column"": 22}, ""data"": ""unsolved goals\n\u22a2 State""}]",True
def-behavior,11,True,[],True,True,[],True,True,[],True
valid-memsafety,12,False,no code,False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 10}, ""data"": ""unknown namespace 'Array'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 33}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 31}, ""endPos"": {""line"": 4, ""column"": 33}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",
no-overflow,13,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 9}, ""data"": ""fail to show termination for\n  hanoi\nwith errors\nfailed to infer structural recursion:\nCannot use parameter #1:\n  failed to eliminate recursive application\n    hanoi (n - 1)\n\n\nfailed to prove termination, possible solutions:\n  - Use `have`-expressions to prove the remaining goals\n  - Use `termination_by` to specify a different well-founded relation\n  - Use `decreasing_by` to specify your own tactic for discharging this kind of goal\nn : \u2115\n\u22a2 n - 1 < n""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 4}, ""endPos"": {""line"": 6, ""column"": 19}, ""data"": ""fail to show termination for\n  applyHanoiCount\nwith errors\nfailed to infer structural recursion:\nCannot use parameter #1:\n  failed to eliminate recursive application\n    applyHanoiCount (n - 1)\n\n\nfailed to prove termination, possible solutions:\n  - Use `have`-expressions to prove the remaining goals\n  - Use `termination_by` to specify a different well-founded relation\n  - Use `decreasing_by` to specify your own tactic for discharging this kind of goal\nn : \u2115\n\u22a2 n - 1 < n""}, {""severity"": ""error"", ""pos"": {""line"": 20, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 19, ""column"": 76}, ""endPos"": {""line"": 20, ""column"": 30}, ""data"": ""unsolved goals\nn : \u2115\n\u22a2 hanoi n = applyHanoiCount n""}]",False,,no code,False,,no code,False
def-behavior,14,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 35}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 17}, ""endPos"": {""line"": 4, ""column"": 29}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 33}, ""endPos"": {""line"": 4, ""column"": 35}, ""data"": ""unsolved goals\nx\u271d : Sort ?u.2\nNonempty : x\u271d\n\u22a2 ?m.6""}]",True,True,[],True,False,[],False
no-overflow,15,True,[],False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 43}, ""endPos"": {""line"": 3, ""column"": 30}, ""data"": ""unsolved goals\nw : \u2115\n\u22a2 Bool""}]",True
