property,original_index,s42_pass,s42_errors,s123_pass,s123_errors,s999_pass,s999_errors,s999_complete,s42_complete,s123_complete
no-overflow,0,False,no code,False,no code,False,no code,,,
valid-memsafety,1,True,[],True,[],False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 11}, ""data"": ""unknown namespace 'SArray'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 19}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 17}, ""endPos"": {""line"": 6, ""column"": 19}, ""data"": ""unsolved goals\n\u22a2 ?m.2""}]",False,True,True
unreach-call,2,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",True,[],False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False,False,True
no-overflow,3,False,no code,False,no code,True,[],True,,
termination,4,True,[],True,[],False,no code,,True,True
termination,5,True,[],False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 25}, ""endPos"": null, ""data"": ""expected token""}]",True,[],True,True,False
unreach-call,6,True,[],False,no code,True,[],True,True,
unreach-call,7,False,no code,True,[],True,[],True,,True
unreach-call,8,False,no code,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 28}, ""endPos"": {""line"": 15, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 26}, ""endPos"": {""line"": 14, ""column"": 28}, ""data"": ""unsolved goals\nBool : Sort ?u.56\n\u22a2 Bool""}]",True,[],True,,False
termination,9,False,no code,False,no code,True,[],True,,
no-overflow,10,False,no code,False,no code,False,no code,,,
def-behavior,11,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 27}, ""endPos"": {""line"": 4, ""column"": 28}, ""data"": ""unexpected token ')'; expected '_' or identifier""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 14}, ""data"": ""unknown namespace 'Classical'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 28}, ""endPos"": {""line"": 8, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 26}, ""endPos"": {""line"": 7, ""column"": 28}, ""data"": ""unsolved goals\n\u22a2 State""}]",False,False,False
