property,original_index,s999_pass,s999_complete,s999_errors,s123_pass,s123_complete,s123_errors,s42_pass,s42_complete,s42_errors
no-overflow,0,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 36}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 34}, ""endPos"": {""line"": 4, ""column"": 36}, ""data"": ""unsolved goals\nInt : Sort ?u.5\nx : Int\n\u22a2 Int""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 8}, ""endPos"": {""line"": 10, ""column"": 3}, ""data"": ""unexpected token 'def'; expected 'else'""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 4}, ""endPos"": {""line"": 10, ""column"": 8}, ""data"": ""invalid `main` function, it must have type `List String -> IO UInt32`""}, {""severity"": ""error"", ""pos"": {""line"": 29, ""column"": 12}, ""endPos"": {""line"": 29, ""column"": 14}, ""data"": ""unexpected token '='; expected ','""}]"
valid-memsafety,1,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 11}, ""data"": ""unknown namespace 'SArray'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 19}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 17}, ""endPos"": {""line"": 6, ""column"": 19}, ""data"": ""unsolved goals\n\u22a2 ?m.2""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 9}, ""endPos"": {""line"": 4, ""column"": 20}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 10}, ""endPos"": {""line"": 10, ""column"": 23}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 12}, ""endPos"": {""line"": 11, ""column"": 19}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 56}, ""endPos"": {""line"": 14, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 54}, ""endPos"": {""line"": 13, ""column"": 56}, ""data"": ""unsolved goals\nNetworkState : Sort ?u.132\nstate : NetworkState\n\u22a2 NetworkState""}]"
unreach-call,2,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 39}, ""endPos"": {""line"": 6, ""column"": 30}, ""data"": ""unsolved goals\ninput : \u2115\n\u22a2 Prop""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 54}, ""endPos"": {""line"": 16, ""column"": 30}, ""data"": ""unsolved goals\n\u22a2 \u2200 (x : \u2115), id x = x""}]"
no-overflow,3,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 30}, ""data"": ""unsolved goals\nn : \u2115\n\u22a2 Unit""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 34}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 18}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 32}, ""endPos"": {""line"": 3, ""column"": 34}, ""data"": ""unsolved goals\nNat : Sort ?u.11\nx\u271d : Sort ?u.8\nOption : x\u271d\nn : Nat\n\u22a2 ?m.14""}]",False,False,Theorem is missing a header
termination,4,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 43}, ""endPos"": {""line"": 4, ""column"": 30}, ""data"": ""unsolved goals\nx y : \u2124\n\u22a2 \u2124 \u00d7 \u2124""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 0}, ""endPos"": {""line"": 4, ""column"": 31}, ""data"": ""type mismatch\n  fun x => ?m.15\nhas type\n  (x : ?m.11) \u2192 ?m.16 x : Sort (imax ?u.10 ?u.13)\nbut is expected to have type\n  \u2124 \u00d7 \u2124 : Type""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 52}, ""endPos"": {""line"": 6, ""column"": 30}, ""data"": ""unsolved goals\ninitialState : \u2124 \u00d7 \u2124\n\u22a2 Prop""}]"
termination,5,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 2}, ""endPos"": null, ""data"": ""expected '{' or indented tactic sequence""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 9}, ""endPos"": {""line"": 10, ""column"": 11}, ""data"": ""unsolved goals\nn : \u2124\nx\u271d\u00b2 x\u271d\u00b9 : ?m.13\np : \u2124 := 0\nq\u271d : \u2124 := 1\nr : \u2124 := n\nh : \u2124 := 0\ncol\u271d : Lean.Loop := Lean.Loop.mk\nx\u271d : Unit\nr\u271d : \u2124\nq : \u2124 := r\u271d\n\u22a2 \u2124""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 69}, ""endPos"": {""line"": 11, ""column"": 30}, ""data"": ""unsolved goals\ns : SquareRootState\n\u22a2 Option SquareRootState""}]"
unreach-call,6,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 23}, ""endPos"": {""line"": 16, ""column"": 8}, ""data"": ""unexpected token 'if'; expected 'else'""}]"
unreach-call,7,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 28}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nx : Nat\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 28}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nx : Nat\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 28}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nx : Nat\n\u22a2 Nat""}]"
unreach-call,8,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 17, ""column"": 10}, ""endPos"": {""line"": 17, ""column"": 13}, ""data"": ""unexpected token 'if'; expected term""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 28}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 26}, ""endPos"": {""line"": 4, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",True,True,[]
termination,9,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 11}, ""endPos"": {""line"": 8, ""column"": 15}, ""data"": ""unknown constant 'Repr'""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 53}, ""endPos"": {""line"": 10, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 51}, ""endPos"": {""line"": 9, ""column"": 53}, ""data"": ""unsolved goals\nProgramState : Sort ?u.11\nNat : Sort ?u.13\ns : ProgramState\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 60}, ""endPos"": {""line"": 4, ""column"": 30}, ""data"": ""unsolved goals\nx y z : \u2124\n\u22a2 Option (\u2124 \u00d7 \u2124 \u00d7 \u2124)""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 37}, ""endPos"": {""line"": 9, ""column"": 30}, ""data"": ""unsolved goals\ns : State\n\u22a2 List State""}]"
