property,original_index,s123_pass,s123_complete,s123_errors,s999_pass,s999_complete,s999_errors,s42_pass,s42_complete,s42_errors
no-overflow,0,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 30}, ""endPos"": {""line"": 16, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 28}, ""endPos"": {""line"": 15, ""column"": 30}, ""data"": ""unsolved goals\n\u22a2 Prop""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 12, ""column"": 0}, ""endPos"": {""line"": 13, ""column"": 18}, ""data"": ""type of theorem 'lean_workbook_137988' is not a proposition\n  Prop""}]",True,False,[]
valid-memsafety,1,False,,no code,False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 33}, ""endPos"": {""line"": 14, ""column"": 34}, ""data"": ""unexpected token '-'; expected ':=', 'where' or '|'""}]"
unreach-call,2,False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 21}, ""endPos"": {""line"": 14, ""column"": 22}, ""data"": ""unexpected token ')'; expected '_' or identifier""}]",False,False,Theorem is missing a header
no-overflow,3,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 27}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 25}, ""endPos"": {""line"": 5, ""column"": 27}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nn : Nat\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 0}, ""endPos"": {""line"": 6, ""column"": 6}, ""data"": ""unexpected identifier; expected command""}]",False,,no code
termination,4,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 27}, ""endPos"": {""line"": 13, ""column"": 31}, ""data"": ""unexpected token 'end'; expected ':=', 'where' or '|'""}, {""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 28}, ""endPos"": {""line"": 13, ""column"": 31}, ""data"": ""invalid 'end', insufficient scopes""}, {""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 32}, ""endPos"": {""line"": 13, ""column"": 34}, ""data"": ""unexpected token ':='; expected command""}]",False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 32}, ""endPos"": {""line"": 15, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 30}, ""endPos"": {""line"": 14, ""column"": 32}, ""data"": ""unsolved goals\n\u22a2 Prop""}]"
termination,5,False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 32}, ""endPos"": {""line"": 16, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 30}, ""endPos"": {""line"": 15, ""column"": 32}, ""data"": ""unsolved goals\n\u22a2 Prop""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 32}, ""endPos"": {""line"": 17, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 30}, ""endPos"": {""line"": 16, ""column"": 32}, ""data"": ""unsolved goals\n\u22a2 Prop""}]"
unreach-call,6,False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 41}, ""endPos"": null, ""data"": ""expected token""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 32}, ""endPos"": {""line"": 16, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 30}, ""endPos"": {""line"": 15, ""column"": 32}, ""data"": ""unsolved goals\n\u22a2 Prop""}]"
unreach-call,7,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 17, ""column"": 38}, ""endPos"": null, ""data"": ""expected token""}, {""severity"": ""error"", ""pos"": {""line"": 17, ""column"": 33}, ""endPos"": {""line"": 17, ""column"": 37}, ""data"": ""unknown constant 'Unit'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 40}, ""endPos"": null, ""data"": ""expected token""}, {""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 35}, ""endPos"": {""line"": 13, ""column"": 39}, ""data"": ""unknown constant 'Unit'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 39}, ""endPos"": null, ""data"": ""expected token""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 34}, ""endPos"": {""line"": 15, ""column"": 38}, ""data"": ""unknown constant 'Unit'""}]"
unreach-call,8,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 51}, ""endPos"": null, ""data"": ""expected token""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 32}, ""endPos"": {""line"": 16, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 30}, ""endPos"": {""line"": 15, ""column"": 32}, ""data"": ""unsolved goals\n\u22a2 Prop""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 30}, ""endPos"": null, ""data"": ""expected token""}]"
termination,9,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 28}, ""endPos"": {""line"": 14, ""column"": 32}, ""data"": ""unexpected token 'end'; expected ')', ',' or ':'""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 29}, ""endPos"": {""line"": 14, ""column"": 32}, ""data"": ""invalid 'end', insufficient scopes""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 32}, ""endPos"": {""line"": 14, ""column"": 33}, ""data"": ""unexpected token ')'; expected command""}]",False,,no code,False,,no code
