property,original_index,s999_pass,s999_complete,s999_errors,s42_pass,s42_complete,s42_errors,s123_pass,s123_complete,s123_errors
no-overflow,0,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 23}, ""endPos"": {""line"": 2, ""column"": 24}, ""data"": ""unexpected token ','; expected ')'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 7, ""column"": 14}, ""data"": ""unexpected token 'termination_by'; expected 'else'""}]"
valid-memsafety,1,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 0}, ""endPos"": {""line"": 3, ""column"": 9}, ""data"": ""unexpected identifier; expected command""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 20}, ""endPos"": {""line"": 15, ""column"": 21}, ""data"": ""unexpected token ';'; expected '//', '|' or '}'""}]",True,True,[]
unreach-call,2,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 6}, ""endPos"": {""line"": 15, ""column"": 11}, ""data"": ""'id_eq' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 8}, ""endPos"": {""line"": 16, ""column"": 13}, ""data"": ""'id_eq' has already been declared""}]"
no-overflow,3,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 15}, ""endPos"": {""line"": 7, ""column"": 10}, ""data"": ""unexpected token 'set_option'; expected 'else'""}]",False,False,Theorem is missing a header,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 19}, ""endPos"": {""line"": 5, ""column"": 9}, ""data"": ""unexpected token 'let'; expected 'else'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 4}, ""endPos"": {""line"": 7, ""column"": 8}, ""data"": ""invalid `main` function, it must have type `List String -> IO UInt32`""}]"
termination,4,False,,no code,False,,no code,True,True,[]
termination,5,True,True,[],True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""invalid `main` function, it must have type `List String -> IO UInt32`""}]"
unreach-call,6,False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 19, ""column"": 7}, ""endPos"": {""line"": 20, ""column"": 3}, ""data"": ""unexpected token '('; expected 'else'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 42}, ""endPos"": {""line"": 2, ""column"": 57}, ""data"": ""type mismatch\n  x % 2 = y % 2\nhas type\n  Prop : Type\nbut is expected to have type\n  Type ?u.9 : Type (?u.9 + 1)""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""invalid `main` function, it must have type `List String -> IO UInt32`""}]"
unreach-call,7,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 20}, ""endPos"": {""line"": 5, ""column"": 9}, ""data"": ""unexpected token 'let'; expected 'else'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 19}, ""endPos"": {""line"": 5, ""column"": 9}, ""data"": ""unexpected token 'let'; expected 'else'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 20}, ""endPos"": {""line"": 5, ""column"": 9}, ""data"": ""unexpected token 'let'; expected 'else'""}]"
unreach-call,8,True,True,[],True,True,[],True,True,[]
termination,9,True,True,[],True,True,[],True,True,[]
no-overflow,10,True,True,[],True,True,[],True,True,[]
def-behavior,11,True,True,[],True,True,[],True,True,[]
valid-memsafety,12,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 56}, ""endPos"": {""line"": 13, ""column"": 57}, ""data"": ""failed to synthesize\n  OfNat Char (nat_lit 1)\nnumerals are polymorphic in Lean, but the numeral `1` cannot be used in a context where the expected type is\n  Char\ndue to the absence of the instance above\nAdditional diagnostic information may be available using the `set_option diagnostics true` command.""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 13}, ""endPos"": {""line"": 16, ""column"": 14}, ""data"": ""failed to synthesize\n  OfNat Char (nat_lit 1)\nnumerals are polymorphic in Lean, but the numeral `1` cannot be used in a context where the expected type is\n  Char\ndue to the absence of the instance above\nAdditional diagnostic information may be available using the `set_option diagnostics true` command.""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 2}, ""endPos"": {""line"": 16, ""column"": 10}, ""data"": ""maximum recursion depth has been reached\nuse `set_option maxRecDepth <num>` to increase limit\nuse `set_option diagnostics true` to get diagnostic information""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 57}, ""endPos"": {""line"": 13, ""column"": 58}, ""data"": ""failed to synthesize\n  OfNat Char (nat_lit 1)\nnumerals are polymorphic in Lean, but the numeral `1` cannot be used in a context where the expected type is\n  Char\ndue to the absence of the instance above\nAdditional diagnostic information may be available using the `set_option diagnostics true` command.""}, {""severity"": ""error"", ""pos"": {""line"": 19, ""column"": 23}, ""endPos"": {""line"": 19, ""column"": 48}, ""data"": ""failed to synthesize\n  HAdd Char Char (?m.1708 : outParam (Type ?u.903))\nAdditional diagnostic information may be available using the `set_option diagnostics true` command.""}, {""severity"": ""error"", ""pos"": {""line"": 23, ""column"": 20}, ""endPos"": {""line"": 23, ""column"": 21}, ""data"": ""failed to synthesize\n  OfNat Char (nat_lit 1)\nnumerals are polymorphic in Lean, but the numeral `1` cannot be used in a context where the expected type is\n  Char\ndue to the absence of the instance above\nAdditional diagnostic information may be available using the `set_option diagnostics true` command.""}, {""severity"": ""error"", ""pos"": {""line"": 24, ""column"": 6}, ""endPos"": {""line"": 24, ""column"": 15}, ""data"": ""maximum recursion depth has been reached\nuse `set_option maxRecDepth <num>` to increase limit\nuse `set_option diagnostics true` to get diagnostic information""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 23, ""column"": 6}, ""endPos"": {""line"": 23, ""column"": 15}, ""data"": ""maximum recursion depth has been reached\nuse `set_option maxRecDepth <num>` to increase limit\nuse `set_option diagnostics true` to get diagnostic information""}]"
no-overflow,13,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 10}, ""endPos"": {""line"": 8, ""column"": 15}, ""data"": ""unexpected token 'from'; expected term""}, {""severity"": ""error"", ""pos"": {""line"": 20, ""column"": 30}, ""endPos"": {""line"": 20, ""column"": 35}, ""data"": ""unexpected token 'from'; expected ')'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 18, ""column"": 27}, ""endPos"": {""line"": 18, ""column"": 32}, ""data"": ""unexpected token 'from'; expected ')'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 10}, ""endPos"": {""line"": 8, ""column"": 15}, ""data"": ""unexpected token 'from'; expected term""}, {""severity"": ""error"", ""pos"": {""line"": 20, ""column"": 28}, ""endPos"": {""line"": 20, ""column"": 33}, ""data"": ""unexpected token 'from'; expected ')'""}]"
def-behavior,14,True,True,[],True,True,[],False,,no code
