property,original_index,s999_pass,s999_complete,s999_errors,s123_pass,s123_complete,s123_errors,s42_pass,s42_complete,s42_errors
no-overflow,0,True,True,[],True,True,[],True,True,[]
valid-memsafety,1,True,True,[],True,True,[],True,True,[]
unreach-call,2,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]"
no-overflow,3,True,True,[],True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 4}, ""endPos"": {""line"": 8, ""column"": 15}, ""data"": ""unknown identifier 'reach_error'""}]"
termination,4,True,True,[],True,True,[],False,False,
termination,5,True,True,[],True,True,[],True,False,[]
unreach-call,6,True,True,[],True,True,[],True,True,[]
unreach-call,7,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 27}, ""endPos"": null, ""data"": ""expected ';' or line break""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]"
unreach-call,8,True,True,[],True,False,[],True,True,[]
termination,9,True,False,[],True,True,[],True,False,[]
no-overflow,10,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 10}, ""endPos"": {""line"": 2, ""column"": 14}, ""data"": ""'Bool' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 10}, ""endPos"": {""line"": 2, ""column"": 14}, ""data"": ""'Bool' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 10}, ""endPos"": {""line"": 2, ""column"": 14}, ""data"": ""'bool' has already been declared""}]"
def-behavior,11,True,True,[],True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""invalid `main` function, it must have type `List String -> IO UInt32`""}]"
valid-memsafety,12,True,True,[],True,True,[],True,True,[]
