property,original_index,s999_pass,s999_complete,s999_errors,s42_pass,s42_complete,s42_errors,s123_pass,s123_complete,s123_errors
no-overflow,0,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 22}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 20}, ""endPos"": {""line"": 4, ""column"": 22}, ""data"": ""unsolved goals\nInt : Sort ?u.5\n\u22a2 Int""}]",True,True,[],True,True,[]
valid-memsafety,1,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 21}, ""endPos"": {""line"": 2, ""column"": 23}, ""data"": ""unexpected token 'by'; expected command""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 12}, ""endPos"": {""line"": 10, ""column"": 25}, ""data"": ""function expected at\n  Array Char\nterm has type\n  Type""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 17}, ""endPos"": {""line"": 14, ""column"": 31}, ""data"": ""function expected at\n  Array Char\nterm has type\n  Type""}, {""severity"": ""error"", ""pos"": {""line"": 24, ""column"": 13}, ""endPos"": {""line"": 24, ""column"": 27}, ""data"": ""function expected at\n  Array UInt8\nterm has type\n  Type""}, {""severity"": ""error"", ""pos"": {""line"": 25, ""column"": 14}, ""endPos"": {""line"": 25, ""column"": 28}, ""data"": ""function expected at\n  Array UInt16\nterm has type\n  Type""}, {""severity"": ""error"", ""pos"": {""line"": 26, ""column"": 14}, ""endPos"": {""line"": 26, ""column"": 28}, ""data"": ""function expected at\n  Array UInt32\nterm has type\n  Type""}, {""severity"": ""error"", ""pos"": {""line"": 33, ""column"": 13}, ""endPos"": {""line"": 33, ""column"": 25}, ""data"": ""function expected at\n  Array Char\nterm has type\n  Type""}, {""severity"": ""error"", ""pos"": {""line"": 47, ""column"": 10}, ""endPos"": {""line"": 47, ""column"": 25}, ""data"": ""function expected at\n  Array In6Addr\nterm has type\n  Type ?u.5316""}, {""severity"": ""error"", ""pos"": {""line"": 63, ""column"": 10}, ""endPos"": {""line"": 63, ""column"": 23}, ""data"": ""function expected at\n  Array \u2124\nterm has type\n  Type""}]",True,True,[]
unreach-call,2,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]"
no-overflow,3,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 4}, ""endPos"": {""line"": 7, ""column"": 8}, ""data"": ""invalid `main` function, it must have type `List String -> IO UInt32`""}]",False,False,,True,True,[]
termination,4,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 6, ""column"": 8}, ""data"": ""unknown namespace 'Int'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 32}, ""endPos"": null, ""data"": ""expected token""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""'Bool' has already been declared""}]"
termination,5,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""invalid `main` function, it must have type `List String -> IO UInt32`""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 5}, ""endPos"": {""line"": 8, ""column"": 9}, ""data"": ""unexpected token 'mut'; expected '_', 'rec', identifier or term""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 9}, ""endPos"": {""line"": 16, ""column"": 5}, ""data"": ""unexpected identifier; expected 'else'""}]"
unreach-call,6,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 28}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 26}, ""endPos"": {""line"": 4, ""column"": 28}, ""data"": ""unsolved goals\nUnit : Sort ?u.5\n\u22a2 Unit""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 28}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 26}, ""endPos"": {""line"": 4, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",True,True,[]
unreach-call,7,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 28}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 26}, ""endPos"": {""line"": 5, ""column"": 28}, ""data"": ""unsolved goals\nInt : Sort ?u.5\nx : Int\n\u22a2 Int""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]"
unreach-call,8,True,True,[],True,True,[],True,True,[]
termination,9,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""invalid `main` function, it must have type `List String -> IO UInt32`""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""'bool' has already been declared""}]"
