,property,expected_verdict,c_file,c_file_abs,yml_path,folder,strat_key
149,no-overflow,False,c/termination-numeric/Et1_true.c,/workspace/sv-benchmarks/c/termination-numeric/Et1_true.c,c/termination-numeric/Et1_true.yml,termination-numeric,no-overflow_False_termination-numeric
600,valid-memsafety,True,c/loops-crafted-1/net_reset.c,/workspace/sv-benchmarks/c/loops-crafted-1/net_reset.c,c/loops-crafted-1/net_reset.yml,loops-crafted-1,valid-memsafety_True_loops-crafted-1
580,unreach-call,False,c/recursive-simple/id_i10_o10-1.c,/workspace/sv-benchmarks/c/recursive-simple/id_i10_o10-1.c,c/recursive-simple/id_i10_o10-1.yml,recursive-simple,unreach-call_False_recursive-simple
96,no-overflow,True,c/recursive-simple/afterrec-2.c,/workspace/sv-benchmarks/c/recursive-simple/afterrec-2.c,c/recursive-simple/afterrec-2.yml,recursive-simple,no-overflow_True_recursive-simple
250,termination,True,c/termination-crafted/Thun-2.c,/workspace/sv-benchmarks/c/termination-crafted/Thun-2.c,c/termination-crafted/Thun-2.yml,termination-crafted,termination_True_termination-crafted
334,termination,False,c/termination-nla/dijkstra2-both-nt.c,/workspace/sv-benchmarks/c/termination-nla/dijkstra2-both-nt.c,c/termination-nla/dijkstra2-both-nt.yml,termination-nla,termination_False_termination-nla
450,unreach-call,True,c/loop-acceleration/diamond_1-1.c,/workspace/sv-benchmarks/c/loop-acceleration/diamond_1-1.c,c/loop-acceleration/diamond_1-1.yml,loop-acceleration,unreach-call_True_loop-acceleration
480,unreach-call,True,c/recursive-simple/id_b5_o10-2.c,/workspace/sv-benchmarks/c/recursive-simple/id_b5_o10-2.c,c/recursive-simple/id_b5_o10-2.yml,recursive-simple,unreach-call_True_recursive-simple
519,unreach-call,False,c/loops/nec20.c,/workspace/sv-benchmarks/c/loops/nec20.c,c/loops/nec20.yml,loops,unreach-call_False_loops
244,termination,True,c/termination-crafted-lit/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1.c,/workspace/sv-benchmarks/c/termination-crafted-lit/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1.c,c/termination-crafted-lit/LarrazOliverasRodriguez-CarbonellRubio-FMCAD2013-Fig1.yml,termination-crafted-lit,termination_True_termination-crafted-lit
175,no-overflow,False,c/termination-crafted-lit/ChenFlurMukhopadhyay-SAS2012-Ex3.06.c,/workspace/sv-benchmarks/c/termination-crafted-lit/ChenFlurMukhopadhyay-SAS2012-Ex3.06.c,c/termination-crafted-lit/ChenFlurMukhopadhyay-SAS2012-Ex3.06.yml,termination-crafted-lit,no-overflow_False_termination-crafted-lit
