model,temperature,seed,bleu_representativeness,folder
claude-3.5-haiku,0.8,42,0.247,recursive-simple
claude-3.5-haiku,0.8,123,0.0366,termination-numeric
claude-3.5-haiku,0.8,999,0.1545,recursive-simple
claude-3.5-haiku,0.8,42,0.1482,termination-numeric
claude-3.5-haiku,0.8,123,0.2518,recursive-simple
claude-3.5-haiku,0.8,999,0.216,termination-numeric
claude-3.5-haiku,0.8,123,0.2493,recursive-simple
claude-3.5-haiku,0.8,999,0.0287,termination-nla
claude-3.5-haiku,0.8,999,0.0158,loops-crafted-1
claude-3.5-haiku,0.8,123,0.2188,loop-acceleration
claude-3.5-haiku,0.8,999,0.23,loop-acceleration
claude-3.5-haiku,0.8,123,0.2141,recursive-simple
claude-3.5-haiku,0.8,42,0.0844,recursive-simple
claude-3.5-haiku,0.8,123,0.0026,loops-crafted-1
claude-3.5-haiku,0.8,123,0.0153,termination-nla
claude-3.5-haiku,0.8,999,0.031,loops
claude-3.5-haiku,0.8,123,0.0818,termination-crafted
claude-3.5-haiku,0.8,42,0.0889,termination-nla
claude-3.5-haiku,0.8,42,0.0296,termination-crafted
claude-3.5-haiku,0.8,123,0.0151,loops
claude-3.5-haiku,0.8,999,0.0687,recursive-simple
claude-3.5-haiku,0.8,42,0.0561,loops
claude-3.5-haiku,0.8,999,0.0869,termination-crafted
claude-3.5-haiku,0.8,123,0.2041,recursive
claude-3.5-haiku,0.8,999,0.0267,termination-crafted-lit
claude-3.5-haiku,0.8,999,0.088,recursive
claude-3.5-haiku,0.8,42,0.003,loops-crafted-1
claude-3.5-haiku,0.8,42,0.0912,termination-crafted-lit
claude-3.5-haiku,0.8,999,0.0952,termination-crafted-lit
claude-3.5-haiku,0.8,123,0.1764,loops
claude-3.5-haiku,0.8,42,0.4165,termination-crafted
claude-3.5-haiku,0.8,42,0.2896,recursive
claude-3.5-haiku,0.8,999,0.0921,recursive-simple
claude-3.5-haiku,0.8,123,0.0963,termination-crafted-lit
claude-3.5-haiku,0.8,42,0.1489,recursive-simple
claude-3.5-haiku,0.8,42,0.1165,termination-crafted
claude-3.5-haiku,0.8,42,0.0352,termination-crafted-lit
claude-3.5-haiku,0.8,42,0.0814,loops
claude-3.5-haiku,0.8,123,0.1293,termination-crafted-lit
claude-3.5-haiku,0.8,999,0.0996,termination-crafted
claude-3.5-haiku,0.8,42,0.1154,recursive-simple
claude-3.5-haiku,0.8,123,0.0574,termination-crafted
claude-3.5-haiku,0.8,123,0.2167,termination-restricted-15
claude-3.5-haiku,0.8,999,0.1827,recursive-simple
claude-3.5-haiku,0.8,999,0.0958,loops-crafted-1
claude-3.5-haiku,0.8,123,0.051,recursive-simple
claude-3.5-haiku,0.8,999,0.1187,termination-crafted
claude-3.5-haiku,0.8,42,0.2169,termination-restricted-15
claude-3.5-haiku,0.8,123,0.1933,termination-crafted
