model,temperature,seed,bleu_representativeness,folder
gemini-2.5-flash-lite,0.8,999,0.0,termination-numeric
gemini-2.5-flash-lite,0.8,123,0.0,termination-crafted
gemini-2.5-flash-lite,0.8,42,0.0,termination-numeric
gemini-2.5-flash-lite,0.8,123,0.0,loops-crafted-1
gemini-2.5-flash-lite,0.8,42,0.0,loops-crafted-1
gemini-2.5-flash-lite,0.8,999,0.0001,termination-crafted
gemini-2.5-flash-lite,0.8,999,0.2014,recursive-simple
gemini-2.5-flash-lite,0.8,123,0.0,loop-acceleration
gemini-2.5-flash-lite,0.8,123,0.0,termination-numeric
gemini-2.5-flash-lite,0.8,42,0.0,termination-nla
gemini-2.5-flash-lite,0.8,123,0.2203,recursive-simple
gemini-2.5-flash-lite,0.8,999,0.1926,recursive-simple
gemini-2.5-flash-lite,0.8,42,0.0999,recursive-simple
gemini-2.5-flash-lite,0.8,42,0.1472,recursive-simple
gemini-2.5-flash-lite,0.8,123,0.0117,termination-nla
gemini-2.5-flash-lite,0.8,999,0.0001,termination-crafted-lit
gemini-2.5-flash-lite,0.8,123,0.0,termination-crafted-lit
gemini-2.5-flash-lite,0.8,42,0.0017,loop-acceleration
gemini-2.5-flash-lite,0.8,999,0.3567,recursive-simple
gemini-2.5-flash-lite,0.8,999,0.0384,loop-acceleration
gemini-2.5-flash-lite,0.8,42,0.0,termination-crafted
gemini-2.5-flash-lite,0.8,123,0.1293,recursive-simple
gemini-2.5-flash-lite,0.8,42,0.0,termination-crafted-lit
gemini-2.5-flash-lite,0.8,999,0.0,termination-nla
gemini-2.5-flash-lite,0.8,999,0.0,termination-crafted-lit
gemini-2.5-flash-lite,0.8,42,0.0,termination-crafted-lit
gemini-2.5-flash-lite,0.8,123,0.0,termination-crafted-lit
gemini-2.5-flash-lite,0.8,123,0.1258,termination-crafted
gemini-2.5-flash-lite,0.8,42,0.0,loops
gemini-2.5-flash-lite,0.8,42,0.1258,termination-crafted
gemini-2.5-flash-lite,0.8,999,0.0103,recursive
gemini-2.5-flash-lite,0.8,999,0.0,loops
gemini-2.5-flash-lite,0.8,123,0.0904,loops
gemini-2.5-flash-lite,0.8,123,0.079,recursive
gemini-2.5-flash-lite,0.8,42,0.0647,loops
gemini-2.5-flash-lite,0.8,42,0.239,recursive
gemini-2.5-flash-lite,0.8,123,0.0,loops
gemini-2.5-flash-lite,0.8,999,0.0333,loops-crafted-1
gemini-2.5-flash-lite,0.8,123,0.2204,termination-crafted
gemini-2.5-flash-lite,0.8,42,0.4233,termination-crafted
gemini-2.5-flash-lite,0.8,123,0.3497,termination-crafted
gemini-2.5-flash-lite,0.8,123,0.6303,termination-restricted-15
gemini-2.5-flash-lite,0.8,999,0.5315,termination-crafted
gemini-2.5-flash-lite,0.8,999,0.2471,loops
gemini-2.5-flash-lite,0.8,999,0.0806,recursive-simple
gemini-2.5-flash-lite,0.8,999,0.0333,termination-crafted
gemini-2.5-flash-lite,0.8,42,0.191,termination-numeric
gemini-2.5-flash-lite,0.8,42,0.0703,recursive-simple
gemini-2.5-flash-lite,0.8,999,0.2508,termination-numeric
gemini-2.5-flash-lite,0.8,123,0.1051,recursive-simple
gemini-2.5-flash-lite,0.8,42,0.0006,termination-bwb
gemini-2.5-flash-lite,0.8,123,0.3717,recursive-simple
gemini-2.5-flash-lite,0.8,123,0.0601,termination-restricted-15
gemini-2.5-flash-lite,0.8,123,0.4382,termination-numeric
gemini-2.5-flash-lite,0.8,999,0.0709,termination-restricted-15
gemini-2.5-flash-lite,0.8,999,0.2371,loops-crafted-1
gemini-2.5-flash-lite,0.8,999,0.0,termination-crafted-lit
gemini-2.5-flash-lite,0.8,999,0.0,recursive
gemini-2.5-flash-lite,0.8,42,0.0274,recursive
gemini-2.5-flash-lite,0.8,999,0.1638,termination-restricted-15
gemini-2.5-flash-lite,0.8,42,0.1397,termination-crafted
gemini-2.5-flash-lite,0.8,42,0.0556,termination-restricted-15
gemini-2.5-flash-lite,0.8,42,0.2386,loops-crafted-1
gemini-2.5-flash-lite,0.8,42,0.0,array-fpi
gemini-2.5-flash-lite,0.8,42,0.0603,recursive-simple
gemini-2.5-flash-lite,0.8,123,0.0004,termination-bwb
gemini-2.5-flash-lite,0.8,999,0.0,termination-crafted
gemini-2.5-flash-lite,0.8,123,0.0,recursive
gemini-2.5-flash-lite,0.8,42,0.0077,loop-acceleration
gemini-2.5-flash-lite,0.8,999,0.0,loop-acceleration
gemini-2.5-flash-lite,0.8,42,0.2168,termination-crafted
gemini-2.5-flash-lite,0.8,42,0.0053,loops
gemini-2.5-flash-lite,0.8,42,0.0257,termination-restricted-15
