model,temperature,seed,bleu_representativeness,folder
qwen2.5-32b,0.2,999,0.0875,termination-crafted
qwen2.5-32b,0.2,42,0.1435,recursive-simple
qwen2.5-32b,0.2,123,0.1177,recursive-simple
qwen2.5-32b,0.2,123,0.3888,loop-acceleration
qwen2.5-32b,0.2,42,0.1228,termination-numeric
qwen2.5-32b,0.2,999,0.0404,termination-nla
qwen2.5-32b,0.2,999,0.1381,termination-numeric
qwen2.5-32b,0.2,123,0.1562,termination-numeric
qwen2.5-32b,0.2,42,0.2073,recursive-simple
qwen2.5-32b,0.2,42,0.2226,loop-acceleration
qwen2.5-32b,0.2,123,0.0775,termination-crafted
qwen2.5-32b,0.2,42,0.3873,recursive-simple
qwen2.5-32b,0.2,999,0.1825,recursive-simple
qwen2.5-32b,0.2,999,0.2801,recursive-simple
qwen2.5-32b,0.2,123,0.2775,recursive-simple
qwen2.5-32b,0.2,999,0.0882,loops-crafted-1
qwen2.5-32b,0.2,999,0.2239,loop-acceleration
qwen2.5-32b,0.2,42,0.0,termination-crafted
qwen2.5-32b,0.2,999,0.4807,loops
qwen2.5-32b,0.2,42,0.1107,termination-crafted-lit
qwen2.5-32b,0.2,42,0.1412,termination-crafted
qwen2.5-32b,0.2,123,0.1066,termination-nla
qwen2.5-32b,0.2,42,0.2253,termination-nla
qwen2.5-32b,0.2,123,0.3218,recursive-simple
qwen2.5-32b,0.2,123,0.1142,termination-crafted
qwen2.5-32b,0.2,123,0.4679,loops
qwen2.5-32b,0.2,999,0.0,recursive
qwen2.5-32b,0.2,42,0.0394,recursive
qwen2.5-32b,0.2,123,0.2046,recursive
qwen2.5-32b,0.2,123,0.3338,loops
qwen2.5-32b,0.2,999,0.1556,termination-crafted-lit
qwen2.5-32b,0.2,999,0.2503,loops
qwen2.5-32b,0.2,42,0.1764,loops-crafted-1
qwen2.5-32b,0.2,42,0.2181,loops
qwen2.5-32b,0.2,999,0.1264,loops-crafted-1
qwen2.5-32b,0.2,123,0.1406,loops-crafted-1
qwen2.5-32b,0.2,42,0.1759,termination-crafted-lit
qwen2.5-32b,0.2,42,0.5062,loops
qwen2.5-32b,0.2,123,0.5971,termination-restricted-15
qwen2.5-32b,0.2,123,0.1569,termination-crafted-lit
qwen2.5-32b,0.2,999,0.136,recursive-simple
qwen2.5-32b,0.2,42,0.2009,termination-crafted
qwen2.5-32b,0.2,123,0.1714,loops-crafted-1
qwen2.5-32b,0.2,123,0.1527,termination-crafted-lit
qwen2.5-32b,0.2,42,0.2115,loops-crafted-1
qwen2.5-32b,0.2,999,0.2018,recursive-simple
qwen2.5-32b,0.2,123,0.2445,recursive-simple
qwen2.5-32b,0.2,123,0.7021,termination-numeric
qwen2.5-32b,0.2,42,0.2933,termination-crafted
qwen2.5-32b,0.2,42,0.1673,recursive-simple
qwen2.5-32b,0.2,42,0.2682,termination-numeric
qwen2.5-32b,0.2,123,0.2804,termination-crafted
qwen2.5-32b,0.2,123,0.522,termination-crafted-lit
qwen2.5-32b,0.2,123,0.3135,termination-bwb
qwen2.5-32b,0.2,999,0.3446,termination-bwb
qwen2.5-32b,0.2,42,0.2436,recursive
qwen2.5-32b,0.2,999,0.3269,recursive
qwen2.5-32b,0.2,123,0.2176,recursive
qwen2.5-32b,0.2,999,0.1661,termination-crafted
qwen2.5-32b,0.2,999,0.1269,termination-crafted
qwen2.5-32b,0.2,42,0.0473,termination-restricted-15
qwen2.5-32b,0.2,42,0.1297,termination-crafted-lit
qwen2.5-32b,0.2,42,0.1141,termination-bwb
qwen2.5-32b,0.2,999,0.0877,termination-crafted
