model,temperature,seed,bleu_representativeness,folder
gemini-2.5-flash-lite,0.2,123,0.0,loops-crafted-1
gemini-2.5-flash-lite,0.2,999,0.0,termination-nla
gemini-2.5-flash-lite,0.2,42,0.0,termination-nla
gemini-2.5-flash-lite,0.2,42,0.0,termination-numeric
gemini-2.5-flash-lite,0.2,123,0.1387,recursive-simple
gemini-2.5-flash-lite,0.2,999,0.0,termination-crafted
gemini-2.5-flash-lite,0.2,999,0.2205,recursive-simple
gemini-2.5-flash-lite,0.2,999,0.1613,recursive-simple
gemini-2.5-flash-lite,0.2,42,0.4711,recursive-simple
gemini-2.5-flash-lite,0.2,123,0.0,termination-numeric
gemini-2.5-flash-lite,0.2,999,0.1383,loop-acceleration
gemini-2.5-flash-lite,0.2,42,0.0,loops
gemini-2.5-flash-lite,0.2,42,0.2318,recursive-simple
gemini-2.5-flash-lite,0.2,42,0.1573,loop-acceleration
gemini-2.5-flash-lite,0.2,999,0.006,loops-crafted-1
gemini-2.5-flash-lite,0.2,123,0.0,termination-crafted-lit
gemini-2.5-flash-lite,0.2,999,0.0,termination-crafted-lit
gemini-2.5-flash-lite,0.2,123,0.0002,termination-crafted
gemini-2.5-flash-lite,0.2,123,0.0347,termination-nla
gemini-2.5-flash-lite,0.2,123,0.2563,loop-acceleration
gemini-2.5-flash-lite,0.2,123,0.3194,recursive-simple
gemini-2.5-flash-lite,0.2,42,0.0186,termination-crafted
gemini-2.5-flash-lite,0.2,999,0.1033,recursive-simple
gemini-2.5-flash-lite,0.2,123,0.131,termination-crafted
gemini-2.5-flash-lite,0.2,42,0.0002,termination-crafted-lit
gemini-2.5-flash-lite,0.2,999,0.0539,termination-crafted
gemini-2.5-flash-lite,0.2,42,0.23,recursive-simple
gemini-2.5-flash-lite,0.2,42,0.0744,termination-crafted-lit
gemini-2.5-flash-lite,0.2,42,0.0657,loops
gemini-2.5-flash-lite,0.2,123,0.0001,loops-crafted-1
gemini-2.5-flash-lite,0.2,42,0.0115,recursive
gemini-2.5-flash-lite,0.2,42,0.0805,loops-crafted-1
gemini-2.5-flash-lite,0.2,42,0.0771,termination-crafted
gemini-2.5-flash-lite,0.2,123,0.1038,termination-crafted
gemini-2.5-flash-lite,0.2,999,0.1202,loops
gemini-2.5-flash-lite,0.2,123,0.1721,recursive-simple
gemini-2.5-flash-lite,0.2,999,0.108,recursive
gemini-2.5-flash-lite,0.2,123,0.0597,recursive
gemini-2.5-flash-lite,0.2,42,0.1608,termination-restricted-15
gemini-2.5-flash-lite,0.2,123,0.6759,termination-restricted-15
gemini-2.5-flash-lite,0.2,42,0.3282,termination-crafted
gemini-2.5-flash-lite,0.2,42,0.0736,recursive-simple
gemini-2.5-flash-lite,0.2,999,0.1816,termination-numeric
gemini-2.5-flash-lite,0.2,999,0.0533,loops-crafted-1
gemini-2.5-flash-lite,0.2,999,0.6303,termination-restricted-15
gemini-2.5-flash-lite,0.2,123,0.1837,termination-numeric
gemini-2.5-flash-lite,0.2,999,0.2278,recursive-simple
gemini-2.5-flash-lite,0.2,123,0.2582,recursive-simple
gemini-2.5-flash-lite,0.2,123,0.1406,loops
gemini-2.5-flash-lite,0.2,999,0.5006,termination-numeric
gemini-2.5-flash-lite,0.2,999,0.0552,termination-crafted-lit
gemini-2.5-flash-lite,0.2,999,0.3282,termination-crafted
gemini-2.5-flash-lite,0.2,42,0.1082,termination-restricted-15
gemini-2.5-flash-lite,0.2,123,0.5846,termination-crafted
gemini-2.5-flash-lite,0.2,42,0.6475,termination-numeric
gemini-2.5-flash-lite,0.2,999,0.3458,termination-restricted-15
gemini-2.5-flash-lite,0.2,999,0.0,termination-bwb
gemini-2.5-flash-lite,0.2,123,0.1544,termination-restricted-15
gemini-2.5-flash-lite,0.2,123,0.0,array-fpi
gemini-2.5-flash-lite,0.2,42,0.0,termination-bwb
gemini-2.5-flash-lite,0.2,42,0.057,array-fpi
gemini-2.5-flash-lite,0.2,123,0.2871,recursive
gemini-2.5-flash-lite,0.2,123,0.0,termination-crafted
gemini-2.5-flash-lite,0.2,42,0.0912,termination-crafted
gemini-2.5-flash-lite,0.2,999,0.2014,recursive
gemini-2.5-flash-lite,0.2,42,0.0,loops
gemini-2.5-flash-lite,0.2,42,0.0,loop-acceleration
gemini-2.5-flash-lite,0.2,42,0.2146,recursive
gemini-2.5-flash-lite,0.2,123,0.5027,termination-crafted-lit
gemini-2.5-flash-lite,0.2,999,0.0,loop-acceleration
gemini-2.5-flash-lite,0.2,123,0.1759,loop-acceleration
gemini-2.5-flash-lite,0.2,123,0.26,array-fpi
gemini-2.5-flash-lite,0.2,42,0.0,bitvector
gemini-2.5-flash-lite,0.2,999,0.0402,termination-crafted-lit
gemini-2.5-flash-lite,0.2,123,0.0,bitvector
gemini-2.5-flash-lite,0.2,123,0.1305,termination-bwb
gemini-2.5-flash-lite,0.2,42,0.0008,termination-crafted
gemini-2.5-flash-lite,0.2,999,0.0,loop-invgen
gemini-2.5-flash-lite,0.2,999,0.0,bitvector
gemini-2.5-flash-lite,0.2,42,0.204,loops-crafted-1
gemini-2.5-flash-lite,0.2,42,0.2824,termination-crafted
