model,temperature,seed,bleu_representativeness,folder
goedel-prover-8b,0.2,999,0.0,termination-crafted
goedel-prover-8b,0.2,123,0.0,termination-nla
goedel-prover-8b,0.2,999,0.0,loops-crafted-1
goedel-prover-8b,0.2,42,0.0,termination-nla
goedel-prover-8b,0.2,42,0.0695,termination-numeric
goedel-prover-8b,0.2,999,0.143,recursive-simple
goedel-prover-8b,0.2,123,0.2239,recursive-simple
goedel-prover-8b,0.2,123,0.136,recursive-simple
goedel-prover-8b,0.2,999,0.001,termination-numeric
goedel-prover-8b,0.2,42,0.0003,termination-crafted
goedel-prover-8b,0.2,123,0.0548,termination-numeric
goedel-prover-8b,0.2,999,0.0,termination-nla
goedel-prover-8b,0.2,42,0.0,loops
goedel-prover-8b,0.2,42,0.2001,recursive-simple
goedel-prover-8b,0.2,999,0.0,loop-acceleration
goedel-prover-8b,0.2,123,0.0003,loops
goedel-prover-8b,0.2,123,0.0187,termination-crafted
goedel-prover-8b,0.2,999,0.0225,loops
goedel-prover-8b,0.2,123,0.0346,termination-crafted-lit
goedel-prover-8b,0.2,123,0.0,termination-crafted-lit
goedel-prover-8b,0.2,123,0.2322,recursive-simple
goedel-prover-8b,0.2,999,0.1079,termination-crafted-lit
goedel-prover-8b,0.2,42,0.1019,recursive-simple
goedel-prover-8b,0.2,42,0.1516,loop-acceleration
goedel-prover-8b,0.2,42,0.0187,termination-crafted-lit
goedel-prover-8b,0.2,123,0.0003,loops-crafted-1
goedel-prover-8b,0.2,123,0.1814,termination-crafted
goedel-prover-8b,0.2,123,0.0002,termination-crafted
goedel-prover-8b,0.2,999,0.0478,loops
goedel-prover-8b,0.2,999,0.0949,termination-crafted
goedel-prover-8b,0.2,999,0.1495,termination-crafted-lit
goedel-prover-8b,0.2,42,0.3258,termination-crafted-lit
goedel-prover-8b,0.2,42,0.0024,loops-crafted-1
goedel-prover-8b,0.2,42,0.2895,termination-crafted
goedel-prover-8b,0.2,123,0.2118,recursive
goedel-prover-8b,0.2,123,0.093,loops-crafted-1
goedel-prover-8b,0.2,42,0.0663,termination-crafted
goedel-prover-8b,0.2,999,0.075,recursive-simple
goedel-prover-8b,0.2,42,0.0565,termination-crafted
goedel-prover-8b,0.2,42,0.1067,loops-crafted-1
goedel-prover-8b,0.2,999,0.0,termination-crafted
goedel-prover-8b,0.2,999,0.0887,termination-restricted-15
goedel-prover-8b,0.2,42,0.3236,termination-restricted-15
goedel-prover-8b,0.2,42,0.1312,recursive-simple
goedel-prover-8b,0.2,999,0.025,termination-crafted
goedel-prover-8b,0.2,123,0.1258,termination-crafted
goedel-prover-8b,0.2,123,0.1013,termination-restricted-15
goedel-prover-8b,0.2,999,0.009,loops-crafted-1
goedel-prover-8b,0.2,42,0.1767,termination-numeric
goedel-prover-8b,0.2,999,0.0,termination-crafted-lit
goedel-prover-8b,0.2,123,0.2356,termination-numeric
goedel-prover-8b,0.2,123,0.0995,recursive-simple
goedel-prover-8b,0.2,999,0.0,recursive-simple
goedel-prover-8b,0.2,42,0.1932,recursive-simple
goedel-prover-8b,0.2,999,0.0,termination-numeric
goedel-prover-8b,0.2,123,0.1971,termination-restricted-15
goedel-prover-8b,0.2,42,0.1815,termination-bwb
goedel-prover-8b,0.2,999,0.0005,termination-bwb
goedel-prover-8b,0.2,999,0.3015,termination-restricted-15
goedel-prover-8b,0.2,42,0.2503,termination-restricted-15
goedel-prover-8b,0.2,999,0.2068,recursive
goedel-prover-8b,0.2,42,0.2553,recursive
goedel-prover-8b,0.2,123,0.1637,termination-crafted-lit
goedel-prover-8b,0.2,42,0.0,recursive
goedel-prover-8b,0.2,999,0.0207,array-fpi
goedel-prover-8b,0.2,42,0.0,loops
goedel-prover-8b,0.2,42,0.0,array-fpi
goedel-prover-8b,0.2,123,0.0,termination-crafted
goedel-prover-8b,0.2,999,0.0,array-fpi
goedel-prover-8b,0.2,42,0.0,loop-acceleration
goedel-prover-8b,0.2,42,0.1174,termination-crafted
goedel-prover-8b,0.2,123,0.0,loop-acceleration
goedel-prover-8b,0.2,999,0.092,recursive-simple
goedel-prover-8b,0.2,42,0.0,loop-invgen
goedel-prover-8b,0.2,123,0.2755,recursive
goedel-prover-8b,0.2,999,0.0359,loop-acceleration
goedel-prover-8b,0.2,123,0.0,bitvector
goedel-prover-8b,0.2,999,0.0,bitvector
goedel-prover-8b,0.2,42,0.0,termination-crafted
goedel-prover-8b,0.2,123,0.0,termination-crafted
goedel-prover-8b,0.2,42,0.2452,loops
goedel-prover-8b,0.2,999,0.19,termination-crafted
goedel-prover-8b,0.2,123,0.0,loop-invgen
goedel-prover-8b,0.2,123,0.2771,termination-bwb
goedel-prover-8b,0.2,42,0.0,termination-crafted
goedel-prover-8b,0.2,123,0.0005,termination-crafted
goedel-prover-8b,0.2,42,0.0013,termination-crafted
goedel-prover-8b,0.2,42,0.2712,termination-crafted-lit
goedel-prover-8b,0.2,999,0.2497,recursive
goedel-prover-8b,0.2,999,0.2595,termination-crafted
goedel-prover-8b,0.2,123,0.095,array-fpi
goedel-prover-8b,0.2,999,0.0476,termination-crafted
goedel-prover-8b,0.2,42,0.0,bitvector
goedel-prover-8b,0.2,123,0.2334,termination-crafted-lit
goedel-prover-8b,0.2,123,0.2752,termination-crafted
goedel-prover-8b,0.2,999,0.0838,termination-crafted
goedel-prover-8b,0.2,999,0.0,termination-crafted
goedel-prover-8b,0.2,123,0.3975,array-memsafety
goedel-prover-8b,0.2,42,0.4907,array-memsafety
goedel-prover-8b,0.2,999,0.2671,termination-crafted-lit
