model,temperature,seed,bleu_representativeness,folder
gpt-4o-mini,0.8,123,0.1037,recursive-simple
gpt-4o-mini,0.8,42,0.2176,recursive-simple
gpt-4o-mini,0.8,42,0.3811,loop-acceleration
gpt-4o-mini,0.8,42,0.286,termination-numeric
gpt-4o-mini,0.8,123,0.2515,recursive-simple
gpt-4o-mini,0.8,999,0.3057,recursive-simple
gpt-4o-mini,0.8,999,0.2064,termination-nla
gpt-4o-mini,0.8,123,0.0836,loops-crafted-1
gpt-4o-mini,0.8,999,0.1441,termination-numeric
gpt-4o-mini,0.8,42,0.1231,termination-crafted
gpt-4o-mini,0.8,42,0.1166,termination-nla
gpt-4o-mini,0.8,999,0.1076,termination-crafted
gpt-4o-mini,0.8,123,0.1591,termination-numeric
gpt-4o-mini,0.8,42,0.2508,recursive-simple
gpt-4o-mini,0.8,123,0.2356,recursive-simple
gpt-4o-mini,0.8,999,0.2362,recursive-simple
gpt-4o-mini,0.8,999,0.2083,loop-acceleration
gpt-4o-mini,0.8,999,0.0894,termination-crafted-lit
gpt-4o-mini,0.8,42,0.2859,termination-crafted-lit
gpt-4o-mini,0.8,42,0.3361,loops
gpt-4o-mini,0.8,123,0.2357,loop-acceleration
gpt-4o-mini,0.8,123,0.1671,termination-crafted-lit
gpt-4o-mini,0.8,999,0.1041,loops-crafted-1
gpt-4o-mini,0.8,42,0.0947,termination-crafted-lit
gpt-4o-mini,0.8,999,0.0977,termination-crafted-lit
gpt-4o-mini,0.8,42,0.3278,recursive
gpt-4o-mini,0.8,42,0.1096,termination-crafted
gpt-4o-mini,0.8,999,0.322,recursive
gpt-4o-mini,0.8,123,0.0767,termination-crafted
gpt-4o-mini,0.8,999,0.0732,termination-crafted
gpt-4o-mini,0.8,123,0.3795,recursive
gpt-4o-mini,0.8,999,0.1124,loops-crafted-1
gpt-4o-mini,0.8,42,0.1455,loops-crafted-1
gpt-4o-mini,0.8,42,0.3086,loops-crafted-1
gpt-4o-mini,0.8,123,0.2313,termination-crafted-lit
gpt-4o-mini,0.8,999,0.2147,termination-crafted
gpt-4o-mini,0.8,42,0.0594,termination-crafted
gpt-4o-mini,0.8,42,0.1052,loops
gpt-4o-mini,0.8,123,0.2187,loops-crafted-1
gpt-4o-mini,0.8,123,0.3712,loops
gpt-4o-mini,0.8,123,0.1048,recursive-simple
gpt-4o-mini,0.8,999,0.2091,recursive-simple
gpt-4o-mini,0.8,42,0.103,termination-restricted-15
gpt-4o-mini,0.8,123,0.2266,termination-crafted
gpt-4o-mini,0.8,42,0.1699,recursive-simple
gpt-4o-mini,0.8,42,0.2413,termination-crafted
gpt-4o-mini,0.8,123,0.1076,termination-crafted
gpt-4o-mini,0.8,42,0.4952,termination-crafted-lit
gpt-4o-mini,0.8,999,0.3485,termination-numeric
gpt-4o-mini,0.8,999,0.2398,loops
gpt-4o-mini,0.8,999,0.4615,termination-restricted-15
gpt-4o-mini,0.8,999,0.3845,termination-crafted-lit
gpt-4o-mini,0.8,42,0.2669,recursive-simple
gpt-4o-mini,0.8,999,0.4821,termination-restricted-15
gpt-4o-mini,0.8,123,0.2898,termination-restricted-15
gpt-4o-mini,0.8,42,0.0838,termination-numeric
gpt-4o-mini,0.8,42,0.049,termination-restricted-15
gpt-4o-mini,0.8,123,0.125,termination-numeric
gpt-4o-mini,0.8,42,0.306,termination-bwb
gpt-4o-mini,0.8,123,0.3368,recursive
gpt-4o-mini,0.8,999,0.3593,termination-bwb
gpt-4o-mini,0.8,42,0.2885,recursive
gpt-4o-mini,0.8,42,0.1149,array-fpi
gpt-4o-mini,0.8,123,0.4834,termination-crafted
gpt-4o-mini,0.8,123,0.1275,termination-restricted-15
gpt-4o-mini,0.8,999,0.1431,array-fpi
gpt-4o-mini,0.8,123,0.2922,termination-bwb
gpt-4o-mini,0.8,999,0.2536,recursive
gpt-4o-mini,0.8,999,0.4613,loops
gpt-4o-mini,0.8,123,0.1226,array-fpi
gpt-4o-mini,0.8,42,0.137,termination-crafted
gpt-4o-mini,0.8,123,0.1773,loop-acceleration
gpt-4o-mini,0.8,999,0.2434,loop-acceleration
gpt-4o-mini,0.8,123,0.2763,array-fpi
gpt-4o-mini,0.8,999,0.0,loop-invgen
gpt-4o-mini,0.8,42,0.0,bitvector
gpt-4o-mini,0.8,42,0.3687,loops
gpt-4o-mini,0.8,42,0.1682,loop-acceleration
gpt-4o-mini,0.8,42,0.3231,array-fpi
gpt-4o-mini,0.8,42,0.0969,termination-crafted
gpt-4o-mini,0.8,123,0.1238,termination-crafted
gpt-4o-mini,0.8,42,0.3538,termination-crafted
gpt-4o-mini,0.8,999,0.1505,termination-crafted
gpt-4o-mini,0.8,999,0.2615,termination-crafted
gpt-4o-mini,0.8,42,0.2557,termination-crafted
gpt-4o-mini,0.8,123,0.2012,termination-crafted
gpt-4o-mini,0.8,123,0.0126,bitvector
gpt-4o-mini,0.8,123,0.145,termination-nla
gpt-4o-mini,0.8,999,0.2901,recursive-simple
gpt-4o-mini,0.8,123,0.1724,termination-crafted-lit
gpt-4o-mini,0.8,999,0.2378,loops
gpt-4o-mini,0.8,999,0.1624,termination-crafted
gpt-4o-mini,0.8,999,0.4266,termination-crafted-lit
gpt-4o-mini,0.8,123,0.0,loop-invgen
gpt-4o-mini,0.8,123,0.1856,termination-crafted
gpt-4o-mini,0.8,123,0.5224,termination-crafted-lit
gpt-4o-mini,0.8,123,0.2594,array-memsafety
gpt-4o-mini,0.8,999,0.0457,termination-crafted
gpt-4o-mini,0.8,999,0.0011,bitvector
gpt-4o-mini,0.8,999,0.2452,array-memsafety
gpt-4o-mini,0.8,42,0.1684,array-memsafety
gpt-4o-mini,0.8,42,0.1089,bitvector
gpt-4o-mini,0.8,999,0.1541,termination-crafted
gpt-4o-mini,0.8,123,0.1408,loops
gpt-4o-mini,0.8,999,0.0312,bitvector
gpt-4o-mini,0.8,123,0.0005,loop-industry-pattern
gpt-4o-mini,0.8,123,0.1469,bitvector
gpt-4o-mini,0.8,42,0.1073,termination-crafted-lit
gpt-4o-mini,0.8,999,0.1347,termination-nla
gpt-4o-mini,0.8,123,0.0649,termination-crafted
gpt-4o-mini,0.8,123,0.3568,loops
gpt-4o-mini,0.8,42,0.3477,recursive-simple
gpt-4o-mini,0.8,999,0.0245,loop-industry-pattern
gpt-4o-mini,0.8,42,0.0043,loop-industry-pattern
gpt-4o-mini,0.8,123,0.0329,termination-nla
gpt-4o-mini,0.8,42,0.1439,termination-nla
gpt-4o-mini,0.8,42,0.0,loop-invgen
gpt-4o-mini,0.8,999,0.2708,recursive-simple
gpt-4o-mini,0.8,42,0.2075,termination-restricted-15
gpt-4o-mini,0.8,999,0.4273,termination-restricted-15
gpt-4o-mini,0.8,123,0.2716,termination-restricted-15
gpt-4o-mini,0.8,123,0.1069,termination-crafted
gpt-4o-mini,0.8,42,0.0363,termination-nla
gpt-4o-mini,0.8,999,0.3225,array-fpi
gpt-4o-mini,0.8,123,0.122,termination-restricted-15
gpt-4o-mini,0.8,999,0.5371,termination-nla
gpt-4o-mini,0.8,999,0.1077,termination-crafted
gpt-4o-mini,0.8,999,0.1875,termination-restricted-15
gpt-4o-mini,0.8,123,0.0249,termination-nla
gpt-4o-mini,0.8,999,0.2155,loops
gpt-4o-mini,0.8,999,0.1037,termination-bwb
gpt-4o-mini,0.8,123,0.1476,loop-acceleration
gpt-4o-mini,0.8,999,0.1759,loop-acceleration
gpt-4o-mini,0.8,999,0.1694,array-fpi
gpt-4o-mini,0.8,123,0.1235,array-fpi
gpt-4o-mini,0.8,42,0.078,termination-restricted-15
gpt-4o-mini,0.8,42,0.2652,termination-bwb
gpt-4o-mini,0.8,123,0.2193,termination-restricted-15
gpt-4o-mini,0.8,42,0.3589,loop-acceleration
gpt-4o-mini,0.8,123,0.3269,termination-bwb
gpt-4o-mini,0.8,123,0.2714,loops
gpt-4o-mini,0.8,42,0.1119,termination-crafted
gpt-4o-mini,0.8,42,0.0363,array-fpi
gpt-4o-mini,0.8,999,0.1637,termination-restricted-15
gpt-4o-mini,0.8,42,0.3678,loops
gpt-4o-mini,0.8,123,0.348,recursive-simple
gpt-4o-mini,0.8,42,0.3051,termination-restricted-15
gpt-4o-mini,0.8,999,0.2743,loops-crafted-1
gpt-4o-mini,0.8,42,0.0872,loops-crafted-1
gpt-4o-mini,0.8,123,0.1088,loops-crafted-1
