model,temperature,seed,bleu_representativeness,folder
kimina-prover-1.7b,0.5,123,0.0,termination-numeric
kimina-prover-1.7b,0.5,42,0.0,loop-acceleration
kimina-prover-1.7b,0.5,123,0.0,loops-crafted-1
kimina-prover-1.7b,0.5,999,0.0,termination-numeric
kimina-prover-1.7b,0.5,123,0.0,termination-nla
kimina-prover-1.7b,0.5,42,0.0,loops-crafted-1
kimina-prover-1.7b,0.5,123,0.0,termination-crafted
kimina-prover-1.7b,0.5,42,0.0001,recursive-simple
kimina-prover-1.7b,0.5,42,0.0,termination-nla
kimina-prover-1.7b,0.5,999,0.0,termination-crafted
kimina-prover-1.7b,0.5,123,0.0,recursive-simple
kimina-prover-1.7b,0.5,999,0.0,recursive-simple
kimina-prover-1.7b,0.5,42,0.0,termination-numeric
kimina-prover-1.7b,0.5,42,0.0,termination-crafted
kimina-prover-1.7b,0.5,123,0.0,loop-acceleration
kimina-prover-1.7b,0.5,123,0.0,recursive-simple
kimina-prover-1.7b,0.5,999,0.0,recursive-simple
kimina-prover-1.7b,0.5,42,0.0,termination-crafted-lit
kimina-prover-1.7b,0.5,999,0.0,termination-nla
kimina-prover-1.7b,0.5,42,0.0,recursive-simple
kimina-prover-1.7b,0.5,999,0.0,loops-crafted-1
kimina-prover-1.7b,0.5,42,0.0,recursive-simple
kimina-prover-1.7b,0.5,123,0.0,recursive-simple
kimina-prover-1.7b,0.5,42,0.0,loops
kimina-prover-1.7b,0.5,999,0.0824,recursive-simple
kimina-prover-1.7b,0.5,999,0.0,termination-crafted-lit
kimina-prover-1.7b,0.5,123,0.0,loops
kimina-prover-1.7b,0.5,999,0.0,loops
kimina-prover-1.7b,0.5,42,0.0,loops
kimina-prover-1.7b,0.5,123,0.0,loops
kimina-prover-1.7b,0.5,42,0.0,termination-crafted-lit
kimina-prover-1.7b,0.5,999,0.0,loop-acceleration
kimina-prover-1.7b,0.5,123,0.0,termination-crafted-lit
kimina-prover-1.7b,0.5,999,0.0003,termination-crafted
kimina-prover-1.7b,0.5,999,0.0,recursive
kimina-prover-1.7b,0.5,999,0.0,loops
kimina-prover-1.7b,0.5,42,0.0001,termination-crafted
kimina-prover-1.7b,0.5,999,0.0,termination-crafted-lit
kimina-prover-1.7b,0.5,999,0.0004,termination-crafted
kimina-prover-1.7b,0.5,42,0.0006,termination-crafted
kimina-prover-1.7b,0.5,123,0.0001,termination-crafted
kimina-prover-1.7b,0.5,42,0.0,termination-crafted
kimina-prover-1.7b,0.5,42,0.0,recursive
kimina-prover-1.7b,0.5,123,0.0005,termination-crafted
kimina-prover-1.7b,0.5,999,0.0,termination-crafted
kimina-prover-1.7b,0.5,42,0.0,termination-restricted-15
kimina-prover-1.7b,0.5,999,0.0,loops-crafted-1
kimina-prover-1.7b,0.5,123,0.0,recursive-simple
kimina-prover-1.7b,0.5,42,0.0,loops-crafted-1
kimina-prover-1.7b,0.5,123,0.0,termination-numeric
kimina-prover-1.7b,0.5,123,0.0,termination-crafted
kimina-prover-1.7b,0.5,123,0.0752,termination-restricted-15
kimina-prover-1.7b,0.5,42,0.0,termination-crafted-lit
kimina-prover-1.7b,0.5,42,0.0004,termination-bwb
kimina-prover-1.7b,0.5,999,0.0,termination-numeric
kimina-prover-1.7b,0.5,999,0.0,recursive-simple
kimina-prover-1.7b,0.5,123,0.0,termination-crafted-lit
kimina-prover-1.7b,0.5,999,0.0,termination-restricted-15
kimina-prover-1.7b,0.5,42,0.0428,recursive-simple
kimina-prover-1.7b,0.5,42,0.0001,termination-restricted-15
kimina-prover-1.7b,0.5,123,0.0005,termination-bwb
kimina-prover-1.7b,0.5,123,0.0,termination-restricted-15
kimina-prover-1.7b,0.5,999,0.0,termination-restricted-15
kimina-prover-1.7b,0.5,999,0.0,termination-crafted-lit
kimina-prover-1.7b,0.5,123,0.0,recursive
kimina-prover-1.7b,0.5,999,0.0,recursive
kimina-prover-1.7b,0.5,42,0.0,recursive
kimina-prover-1.7b,0.5,42,0.0,termination-crafted
kimina-prover-1.7b,0.5,123,0.0,termination-crafted
kimina-prover-1.7b,0.5,999,0.0,termination-bwb
kimina-prover-1.7b,0.5,123,0.0,loops-crafted-1
kimina-prover-1.7b,0.5,999,0.0,termination-crafted
kimina-prover-1.7b,0.5,123,0.0,recursive
kimina-prover-1.7b,0.5,999,0.0,array-fpi
kimina-prover-1.7b,0.5,999,0.0,array-fpi
kimina-prover-1.7b,0.5,42,0.0,loop-acceleration
kimina-prover-1.7b,0.5,999,0.0,loops
kimina-prover-1.7b,0.5,999,0.0,loop-acceleration
kimina-prover-1.7b,0.5,123,0.0,loops
kimina-prover-1.7b,0.5,42,0.0,array-fpi
kimina-prover-1.7b,0.5,42,0.0,array-fpi
kimina-prover-1.7b,0.5,42,0.0,loop-invgen
kimina-prover-1.7b,0.5,42,0.0,bitvector
kimina-prover-1.7b,0.5,999,0.0,loop-invgen
kimina-prover-1.7b,0.5,123,0.0,array-fpi
kimina-prover-1.7b,0.5,123,0.0,loop-invgen
kimina-prover-1.7b,0.5,999,0.0,bitvector
kimina-prover-1.7b,0.5,123,0.0,array-fpi
