model,temperature,seed,bleu_representativeness,folder
mistral-7b,0.5,42,0.0,termination-nla
mistral-7b,0.5,999,0.0218,termination-crafted
mistral-7b,0.5,123,0.0072,termination-nla
mistral-7b,0.5,42,0.2467,loop-acceleration
mistral-7b,0.5,999,0.0217,termination-nla
mistral-7b,0.5,999,0.215,recursive-simple
mistral-7b,0.5,999,0.0268,loops-crafted-1
mistral-7b,0.5,123,0.4403,recursive-simple
mistral-7b,0.5,42,0.6197,recursive-simple
mistral-7b,0.5,123,0.1845,recursive-simple
mistral-7b,0.5,999,0.1846,loop-acceleration
mistral-7b,0.5,999,0.1964,termination-crafted-lit
mistral-7b,0.5,42,0.1437,termination-numeric
mistral-7b,0.5,999,0.1426,termination-numeric
mistral-7b,0.5,123,0.2897,recursive-simple
mistral-7b,0.5,42,0.3245,recursive-simple
mistral-7b,0.5,999,0.2235,recursive-simple
mistral-7b,0.5,123,0.055,termination-numeric
mistral-7b,0.5,123,0.1214,termination-crafted-lit
mistral-7b,0.5,42,0.0489,loops-crafted-1
mistral-7b,0.5,42,0.0828,termination-crafted
mistral-7b,0.5,123,0.1114,termination-crafted-lit
mistral-7b,0.5,999,0.4007,recursive-simple
mistral-7b,0.5,42,0.1288,recursive
mistral-7b,0.5,42,0.1733,termination-crafted-lit
mistral-7b,0.5,999,0.2742,recursive
mistral-7b,0.5,123,0.086,loops-crafted-1
mistral-7b,0.5,42,0.1315,termination-crafted-lit
mistral-7b,0.5,999,0.2774,termination-crafted
mistral-7b,0.5,999,0.2439,termination-crafted
mistral-7b,0.5,123,0.2563,loops
mistral-7b,0.5,42,0.2317,recursive-simple
mistral-7b,0.5,999,0.1416,termination-crafted-lit
mistral-7b,0.5,123,0.4134,termination-restricted-15
mistral-7b,0.5,42,0.5428,termination-restricted-15
mistral-7b,0.5,999,0.6031,termination-restricted-15
mistral-7b,0.5,42,0.2089,recursive-simple
mistral-7b,0.5,123,0.2614,recursive-simple
mistral-7b,0.5,123,0.1271,loops-crafted-1
mistral-7b,0.5,42,0.2886,loops
mistral-7b,0.5,42,0.0683,termination-crafted
mistral-7b,0.5,999,0.3216,recursive-simple
mistral-7b,0.5,123,0.0593,termination-crafted
mistral-7b,0.5,999,0.2954,loops
mistral-7b,0.5,999,0.4578,termination-crafted
mistral-7b,0.5,999,0.0654,termination-crafted-lit
mistral-7b,0.5,42,0.4213,termination-numeric
mistral-7b,0.5,999,0.3084,loops
mistral-7b,0.5,42,0.2282,termination-crafted
mistral-7b,0.5,42,0.565,termination-restricted-15
mistral-7b,0.5,999,0.4123,termination-numeric
mistral-7b,0.5,123,0.0531,termination-crafted
mistral-7b,0.5,999,0.1105,termination-bwb
mistral-7b,0.5,42,0.1327,loops-crafted-1
mistral-7b,0.5,123,0.3064,recursive
mistral-7b,0.5,123,0.6713,termination-numeric
mistral-7b,0.5,42,0.1984,termination-crafted-lit
mistral-7b,0.5,123,0.1358,termination-crafted-lit
mistral-7b,0.5,42,0.1117,termination-bwb
mistral-7b,0.5,999,0.3634,recursive
mistral-7b,0.5,42,0.1255,loops
mistral-7b,0.5,123,0.0,termination-crafted
mistral-7b,0.5,42,0.2445,array-fpi
mistral-7b,0.5,999,0.1853,loops-crafted-1
mistral-7b,0.5,123,0.1089,array-fpi
mistral-7b,0.5,999,0.2893,termination-crafted
mistral-7b,0.5,42,0.0015,loop-acceleration
mistral-7b,0.5,42,0.2299,array-fpi
mistral-7b,0.5,123,0.1545,array-fpi
mistral-7b,0.5,999,0.1734,loop-acceleration
mistral-7b,0.5,123,0.2599,loop-acceleration
mistral-7b,0.5,42,0.0,bitvector
mistral-7b,0.5,999,0.2721,array-fpi
mistral-7b,0.5,123,0.2374,loop-acceleration
mistral-7b,0.5,999,0.0,bitvector
mistral-7b,0.5,123,0.0679,termination-crafted
mistral-7b,0.5,42,0.0672,termination-crafted
mistral-7b,0.5,999,0.0453,termination-crafted
mistral-7b,0.5,123,0.3009,termination-restricted-15
mistral-7b,0.5,999,0.0,loop-invgen
mistral-7b,0.5,123,0.1927,recursive
mistral-7b,0.5,42,0.033,loops
mistral-7b,0.5,42,0.0558,termination-crafted
mistral-7b,0.5,999,0.2654,array-fpi
mistral-7b,0.5,123,0.0001,bitvector
mistral-7b,0.5,123,0.2356,termination-crafted
mistral-7b,0.5,42,0.4162,termination-crafted
mistral-7b,0.5,999,0.3202,termination-crafted
mistral-7b,0.5,42,0.0018,termination-crafted
mistral-7b,0.5,123,0.0,loop-invgen
mistral-7b,0.5,123,0.1793,termination-bwb
mistral-7b,0.5,123,0.1269,termination-crafted
mistral-7b,0.5,999,0.5022,array-memsafety
mistral-7b,0.5,123,0.2312,array-memsafety
mistral-7b,0.5,42,0.0645,termination-crafted-lit
mistral-7b,0.5,42,0.4289,recursive
mistral-7b,0.5,123,0.1174,termination-crafted-lit
mistral-7b,0.5,42,0.2321,array-memsafety
mistral-7b,0.5,999,0.2879,termination-crafted
mistral-7b,0.5,123,0.3305,loops
mistral-7b,0.5,42,0.0,loop-invgen
mistral-7b,0.5,123,0.0,loop-industry-pattern
mistral-7b,0.5,42,0.0003,loop-industry-pattern
mistral-7b,0.5,999,0.0,loop-industry-pattern
mistral-7b,0.5,999,0.0255,bitvector
mistral-7b,0.5,42,0.0,bitvector
mistral-7b,0.5,123,0.1805,loops
mistral-7b,0.5,123,0.073,termination-nla
mistral-7b,0.5,42,0.1165,termination-crafted
mistral-7b,0.5,42,0.0,termination-nla
mistral-7b,0.5,123,0.2814,recursive-simple
mistral-7b,0.5,123,0.2211,termination-crafted
mistral-7b,0.5,999,0.1921,loops
mistral-7b,0.5,123,0.0981,termination-crafted
mistral-7b,0.5,42,0.2589,recursive-simple
mistral-7b,0.5,42,0.2158,termination-restricted-15
mistral-7b,0.5,999,0.267,recursive-simple
mistral-7b,0.5,123,0.0059,termination-nla
mistral-7b,0.5,42,0.248,loops
mistral-7b,0.5,999,0.0905,termination-nla
mistral-7b,0.5,42,0.6617,termination-restricted-15
mistral-7b,0.5,123,0.1014,termination-restricted-15
mistral-7b,0.5,999,0.3396,loops
mistral-7b,0.5,999,0.0979,termination-restricted-15
mistral-7b,0.5,123,0.025,termination-restricted-15
mistral-7b,0.5,123,0.2638,array-fpi
mistral-7b,0.5,999,0.1487,array-fpi
mistral-7b,0.5,42,0.2166,termination-restricted-15
mistral-7b,0.5,42,0.1103,termination-crafted
mistral-7b,0.5,999,0.4104,termination-restricted-15
mistral-7b,0.5,123,0.2092,termination-bwb
mistral-7b,0.5,123,0.3094,termination-restricted-15
mistral-7b,0.5,999,0.0882,termination-crafted-lit
mistral-7b,0.5,999,0.0598,termination-restricted-15
mistral-7b,0.5,999,0.2977,termination-bwb
mistral-7b,0.5,999,0.0271,termination-nla
mistral-7b,0.5,123,0.13,loops-crafted-1
mistral-7b,0.5,42,0.2022,termination-bwb
mistral-7b,0.5,42,0.1817,loop-acceleration
mistral-7b,0.5,42,0.0368,termination-nla
mistral-7b,0.5,42,0.2841,array-fpi
