property,original_index,s123_pass,s123_errors,s42_pass,s42_complete,s42_errors,s999_pass,s999_complete,s999_errors,s123_complete
no-overflow,0,False,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 14}, ""data"": ""unknown namespace 'Classical'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 24}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 22}, ""endPos"": {""line"": 5, ""column"": 24}, ""data"": ""unsolved goals\n\u2124 : Sort ?u.7\n\u22a2 \u2124 \u2192 \u2124""}]",True,True,[],
valid-memsafety,1,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 21}, ""endPos"": {""line"": 4, ""column"": 23}, ""data"": ""unexpected token 'by'; expected command""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 21}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 19}, ""endPos"": {""line"": 6, ""column"": 21}, ""data"": ""unsolved goals\n\u22a2 Type""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 15}, ""endPos"": {""line"": 10, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 13}, ""endPos"": {""line"": 9, ""column"": 15}, ""data"": ""unsolved goals\n\u22a2 ?m.2""}]",False
unreach-call,2,False,"[{""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 49}, ""endPos"": {""line"": 16, ""column"": 30}, ""data"": ""unsolved goals\nn : \u2115\n\u22a2 id_lean n = n""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False
no-overflow,3,True,[],False,,no code,False,,no code,True
termination,4,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 9}, ""data"": ""unknown namespace 'Lean'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 40}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 38}, ""endPos"": {""line"": 5, ""column"": 40}, ""data"": ""unsolved goals\ns : State\n\u22a2 State""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 50}, ""endPos"": {""line"": 6, ""column"": 30}, ""data"": ""unsolved goals\ns s' : State\n\u22a2 Prop""}]",False,,no code,False
termination,5,False,no code,False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 31}, ""endPos"": null, ""data"": ""expected token""}]",
unreach-call,6,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 28}, ""endPos"": {""line"": 3, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 26}, ""endPos"": {""line"": 2, ""column"": 28}, ""data"": ""unsolved goals\nBool : Sort ?u.5\n\u22a2 Bool""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False
unreach-call,7,True,[],False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",True
unreach-call,8,False,no code,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 0}, ""endPos"": {""line"": 3, ""column"": 4}, ""data"": ""unexpected identifier; expected command""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 28}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 26}, ""endPos"": {""line"": 5, ""column"": 28}, ""data"": ""unsolved goals\nBool : Sort ?u.5\n\u22a2 Bool""}]",
termination,9,False,no code,False,,no code,True,True,[],
