property,original_index,s42_pass,s42_complete,s42_errors,s999_pass,s999_complete,s999_errors,s123_pass,s123_complete,s123_errors
no-overflow,0,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 13}, ""data"": ""unknown namespace 'Function'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 6, ""column"": 21}, ""data"": ""unknown namespace 'Lean.Elab.Tactic'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 5}, ""endPos"": {""line"": 7, ""column"": 25}, ""data"": ""unknown namespace 'Lean.Elab.Attributes'""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 21}, ""endPos"": {""line"": 10, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 19}, ""endPos"": {""line"": 9, ""column"": 21}, ""data"": ""unsolved goals\nUnit : Sort ?u.5\n\u22a2 Unit""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 6, ""column"": 13}, ""data"": ""unknown namespace 'Function'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 5}, ""endPos"": {""line"": 7, ""column"": 9}, ""data"": ""unknown namespace 'Lean'""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 5}, ""endPos"": {""line"": 8, ""column"": 22}, ""data"": ""unknown namespace 'Lean.Elab.Tactics'""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 5}, ""endPos"": {""line"": 9, ""column"": 24}, ""data"": ""unknown namespace 'Lean.Parser.Tactics'""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 0}, ""endPos"": null, ""data"": ""expected token""}]",True,True,[]
valid-memsafety,1,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 8}, ""endPos"": {""line"": 13, ""column"": 16}, ""data"": ""'add_comm' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 7}, ""endPos"": {""line"": 3, ""column"": 11}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 7}, ""endPos"": {""line"": 4, ""column"": 10}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 27}, ""endPos"": {""line"": 8, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 25}, ""endPos"": {""line"": 7, ""column"": 27}, ""data"": ""unsolved goals\ninit G : Type\n\u22a2 Prop""}]",False,,no code
unreach-call,2,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 9}, ""data"": ""unknown namespace 'Lean'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 13}, ""data"": ""unknown namespace 'Function'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 6, ""column"": 16}, ""data"": ""unknown namespace 'Expressions'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 5}, ""endPos"": {""line"": 7, ""column"": 8}, ""data"": ""unknown namespace 'Ltl'""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 28}, ""endPos"": {""line"": 9, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 26}, ""endPos"": {""line"": 8, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nx : Nat\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 9}, ""data"": ""unknown namespace 'Lean'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 13}, ""data"": ""unknown namespace 'Function'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 28}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 26}, ""endPos"": {""line"": 6, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nx : Nat\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 22}, ""data"": ""unknown namespace 'Lean.Elab.Tactics'""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 24}, ""data"": ""unknown namespace 'Lean.Parser.Tactics'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 24}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 22}, ""endPos"": {""line"": 4, ""column"": 24}, ""data"": ""unsolved goals\n\u2115 : Sort ?u.5\nx : \u2115\n\u22a2 \u2115""}]"
no-overflow,3,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 13}, ""data"": ""unknown namespace 'Function'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 28}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 26}, ""endPos"": {""line"": 4, ""column"": 28}, ""data"": ""unsolved goals\nUnit : Sort ?u.5\n\u22a2 Unit""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 5}, ""endPos"": {""line"": 14, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 28}, ""endPos"": {""line"": 16, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 26}, ""endPos"": {""line"": 15, ""column"": 28}, ""data"": ""unsolved goals\nUnit : Sort ?u.5\n\u22a2 Unit""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 22}, ""data"": ""unknown namespace 'Lean.Elab.Tactics'""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 28}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unsolved goals\nUnit : Sort ?u.5\n\u22a2 Unit""}]"
termination,4,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 6, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 24}, ""endPos"": {""line"": 8, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 11}, ""endPos"": {""line"": 7, ""column"": 18}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 22}, ""endPos"": {""line"": 7, ""column"": 24}, ""data"": ""unsolved goals\nx\u271d : Sort ?u.2\nIO : x\u271d\n\u22a2 ?m.6""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 13}, ""endPos"": {""line"": 2, ""column"": 23}, ""data"": ""unknown namespace 'Enumerable'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 4}, ""endPos"": {""line"": 3, ""column"": 8}, ""data"": ""invalid `main` function, it must have type `List String -> IO UInt32`""}]"
termination,5,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""unknown namespace 'LTL'""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 33}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 31}, ""endPos"": {""line"": 3, ""column"": 33}, ""data"": ""unsolved goals\n\u2115 : Sort ?u.5\nstate : \u2115\n\u22a2 Prop""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 10}, ""endPos"": {""line"": 2, ""column"": 13}, ""data"": ""'Nat' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 22}, ""data"": ""unknown namespace 'Lean.Elab.Tactics'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 6, ""column"": 24}, ""data"": ""unknown namespace 'Lean.Parser.Tactics'""}]"
unreach-call,6,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 9}, ""data"": ""unknown namespace 'Lean'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 28}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 26}, ""endPos"": {""line"": 4, ""column"": 28}, ""data"": ""unsolved goals\nUnit : Sort ?u.5\n\u22a2 Unit""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 9}, ""data"": ""unknown namespace 'Lean'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 28}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 26}, ""endPos"": {""line"": 4, ""column"": 28}, ""data"": ""unsolved goals\nUnit : Sort ?u.5\n\u22a2 Unit""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 22}, ""data"": ""unknown namespace 'Lean.Elab.Tactics'""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 22}, ""data"": ""unknown namespace 'Lean.Expr.Tactics'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 24}, ""data"": ""unknown namespace 'Lean.Parser.Tactics'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 16}, ""data"": ""unknown namespace 'Lean.Syntax'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 6, ""column"": 19}, ""data"": ""unknown namespace 'Lean.Util.Expr'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 28}, ""endPos"": {""line"": 8, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 26}, ""endPos"": {""line"": 7, ""column"": 28}, ""data"": ""unsolved goals\nUnit : Sort ?u.5\n\u22a2 Unit""}]"
unreach-call,7,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 13}, ""data"": ""unknown namespace 'Function'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 24}, ""endPos"": {""line"": 5, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 22}, ""endPos"": {""line"": 4, ""column"": 24}, ""data"": ""unsolved goals\n\u2115 : Sort ?u.5\nx : \u2115\n\u22a2 \u2115""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 9}, ""data"": ""unknown namespace 'Lean'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 28}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 26}, ""endPos"": {""line"": 5, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nx : Nat\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 5}, ""endPos"": {""line"": 2, ""column"": 22}, ""data"": ""unknown namespace 'Lean.Elab.Tactics'""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 24}, ""data"": ""unknown namespace 'Lean.Parser.Tactics'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 21}, ""data"": ""unknown namespace 'Lean.Parser.Term'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 28}, ""endPos"": {""line"": 6, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 26}, ""endPos"": {""line"": 5, ""column"": 28}, ""data"": ""unsolved goals\nInt : Sort ?u.5\nx : Int\n\u22a2 Int""}]"
unreach-call,8,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 5}, ""endPos"": {""line"": 3, ""column"": 13}, ""data"": ""unknown namespace 'Function'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 9}, ""data"": ""unknown namespace 'Bool'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 28}, ""endPos"": {""line"": 7, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 26}, ""endPos"": {""line"": 6, ""column"": 28}, ""data"": ""unsolved goals\nUnit : Sort ?u.5\n\u22a2 Unit""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 10}, ""endPos"": {""line"": 2, ""column"": 14}, ""data"": ""'Bool' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 25}, ""endPos"": {""line"": 2, ""column"": 27}, ""data"": ""unexpected token 'by'; expected command""}]",True,True,[]
termination,9,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 6, ""column"": 13}, ""data"": ""unknown namespace 'Function'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 5}, ""endPos"": {""line"": 7, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 5}, ""endPos"": {""line"": 8, ""column"": 9}, ""data"": ""unknown namespace 'Bool'""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 25}, ""endPos"": {""line"": 10, ""column"": 27}, ""data"": ""unexpected token 'by'; expected command""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 13}, ""data"": ""unknown namespace 'Function'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 6, ""column"": 9}, ""data"": ""unknown namespace 'Bool'""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 48}, ""endPos"": {""line"": 8, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 46}, ""endPos"": {""line"": 7, ""column"": 48}, ""data"": ""unsolved goals\nNat : Sort ?u.7\np : Nat \u2192 Nat \u2192 Nat \u2192 Nat\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 5}, ""endPos"": {""line"": 4, ""column"": 8}, ""data"": ""unknown namespace 'Nat'""}, {""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 5}, ""endPos"": {""line"": 5, ""column"": 13}, ""data"": ""unknown namespace 'Function'""}, {""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 5}, ""endPos"": {""line"": 6, ""column"": 9}, ""data"": ""unknown namespace 'Bool'""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 33}, ""endPos"": {""line"": 9, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 31}, ""endPos"": {""line"": 8, ""column"": 33}, ""data"": ""unsolved goals\n\u2115 : Sort ?u.15\nx y z : \u2115\n\u22a2 \u2115 \u2192 \u2115 \u2192 \u2115 \u2192 Prop""}]"
