property,original_index,s123_pass,s123_complete,s123_errors,s42_pass,s42_complete,s42_errors,s999_pass,s999_complete,s999_errors
no-overflow,0,True,True,[],True,True,[],True,True,[]
valid-memsafety,1,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 9}, ""endPos"": {""line"": 5, ""column"": 16}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 10}, ""endPos"": {""line"": 10, ""column"": 27}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 12}, ""endPos"": {""line"": 11, ""column"": 19}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 12, ""column"": 56}, ""endPos"": {""line"": 13, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 12, ""column"": 54}, ""endPos"": {""line"": 12, ""column"": 56}, ""data"": ""unsolved goals\nNetworkState : Sort ?u.110\nstate : NetworkState\n\u22a2 NetworkState""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 11}, ""endPos"": {""line"": 10, ""column"": 15}, ""data"": ""unknown constant 'Repr'""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 11}, ""endPos"": {""line"": 15, ""column"": 15}, ""data"": ""unknown constant 'Repr'""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 70}, ""endPos"": {""line"": 17, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 68}, ""endPos"": {""line"": 16, ""column"": 70}, ""data"": ""unsolved goals\nNetworkState : Sort ?u.11\nNat : Sort ?u.13\nstate : NetworkState\nindex : Nat\n\u22a2 Prop""}]"
unreach-call,2,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]"
no-overflow,3,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 6}, ""endPos"": {""line"": 4, ""column"": 9}, ""data"": ""unexpected token 'if'; expected term""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 37}, ""endPos"": null, ""data"": ""expected token""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 33}, ""endPos"": {""line"": 15, ""column"": 36}, ""data"": ""unknown constant 'Unit'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 27}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 25}, ""endPos"": {""line"": 3, ""column"": 27}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nn : Nat\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 30}, ""data"": ""unsolved goals\nn : \u2124\n\u22a2 Unit""}]"
termination,4,True,True,[],True,True,[],True,True,[]
termination,5,True,True,[],True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]"
unreach-call,6,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 23}, ""endPos"": {""line"": 16, ""column"": 9}, ""data"": ""unexpected token 'let'; expected 'else'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 24, ""column"": 59}, ""endPos"": null, ""data"": ""unknown tactic""}, {""severity"": ""error"", ""pos"": {""line"": 21, ""column"": 4}, ""endPos"": {""line"": 24, ""column"": 65}, ""data"": ""unsolved goals\ny : \u2115\n\u22a2 (?m.7 : \u2115 \u2192 \u2115) (0 : \u2115) % (2 : \u2115) = y % (2 : \u2115)""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 18, ""column"": 13}, ""endPos"": {""line"": 18, ""column"": 14}, ""data"": ""unexpected token '*'; expected term""}]"
unreach-call,7,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 28}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nx : Nat\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 23}, ""endPos"": null, ""data"": ""unknown tactic""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 28}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\nx : Nat\n\u22a2 Nat""}]"
unreach-call,8,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 27}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 25}, ""endPos"": {""line"": 3, ""column"": 27}, ""data"": ""unsolved goals\n\u22a2 Prop""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 28}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 26}, ""endPos"": {""line"": 3, ""column"": 28}, ""data"": ""unsolved goals\nNat : Sort ?u.5\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 11}, ""endPos"": {""line"": 10, ""column"": 15}, ""data"": ""unknown constant 'Repr'""}, {""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 34}, ""endPos"": {""line"": 12, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 32}, ""endPos"": {""line"": 11, ""column"": 34}, ""data"": ""unsolved goals\nProgramState : Sort ?u.5\n\u22a2 ProgramState""}]"
termination,9,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 2}, ""endPos"": null, ""data"": ""expected '{' or indented tactic sequence""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 11}, ""endPos"": {""line"": 7, ""column"": 15}, ""data"": ""unknown constant 'Repr'""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 53}, ""endPos"": {""line"": 9, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 51}, ""endPos"": {""line"": 8, ""column"": 53}, ""data"": ""unsolved goals\nProgramState : Sort ?u.11\nNat : Sort ?u.13\ns : ProgramState\n\u22a2 Nat""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 29}, ""endPos"": {""line"": 4, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 27}, ""endPos"": {""line"": 3, ""column"": 29}, ""data"": ""unsolved goals\n\u22a2 Type""}]"
