property,original_index,s42_pass,s42_complete,s42_errors,s999_pass,s999_complete,s999_errors,s123_pass,s123_complete,s123_errors
no-overflow,0,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 32}, ""endPos"": {""line"": 15, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 30}, ""endPos"": {""line"": 14, ""column"": 32}, ""data"": ""unsolved goals\n\u22a2 Prop""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 32}, ""endPos"": {""line"": 15, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 30}, ""endPos"": {""line"": 14, ""column"": 32}, ""data"": ""unsolved goals\n\u22a2 Prop""}]",True,True,[]
valid-memsafety,1,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 0}, ""endPos"": {""line"": 5, ""column"": 6}, ""data"": ""unexpected identifier; expected command""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 27}, ""endPos"": {""line"": 14, ""column"": 28}, ""data"": ""unexpected token ')'; expected '_' or identifier""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 0}, ""endPos"": {""line"": 13, ""column"": 6}, ""data"": ""unexpected identifier; expected command""}]"
unreach-call,2,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 32}, ""endPos"": null, ""data"": ""expected token""}, {""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 27}, ""endPos"": {""line"": 16, ""column"": 31}, ""data"": ""unknown constant 'Unit'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 51}, ""endPos"": {""line"": 15, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 23}, ""endPos"": {""line"": 14, ""column"": 45}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 49}, ""endPos"": {""line"": 14, ""column"": 51}, ""data"": ""unsolved goals\nx\u271d : Sort u_1\nSystem : x\u271d\n\u22a2 (?m.6 : Sort ?u.5)""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 19, ""column"": 22}, ""endPos"": {""line"": 19, ""column"": 23}, ""data"": ""unexpected token ')'; expected '_' or identifier""}]"
no-overflow,3,False,False,Theorem is missing a header,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 0}, ""endPos"": {""line"": 3, ""column"": 35}, ""data"": ""(kernel) arg #2 of '_nested.Option_1.some' contains a non valid occurrence of the datatypes being declared""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 11}, ""endPos"": {""line"": 4, ""column"": 19}, ""data"": ""function expected at\n  System\nterm has type\n  ?m.98""}]",False,False,Theorem is missing a header
termination,4,False,False,Theorem is missing a header,False,,no code,False,,no code
termination,5,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 38}, ""endPos"": null, ""data"": ""missing end of character literal""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 56}, ""endPos"": {""line"": 16, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 104}, ""endPos"": {""line"": 17, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}]"
unreach-call,6,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 16, ""column"": 21}, ""endPos"": {""line"": 16, ""column"": 22}, ""data"": ""unexpected token ')'; expected '_' or identifier""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 0}, ""endPos"": {""line"": 14, ""column"": 18}, ""data"": ""type of theorem 'lean_workbook_147988' is not a proposition\n  Prop""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 32}, ""endPos"": {""line"": 15, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 30}, ""endPos"": {""line"": 14, ""column"": 32}, ""data"": ""unsolved goals\n\u22a2 Prop""}]"
unreach-call,7,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 28}, ""endPos"": {""line"": 8, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 26}, ""endPos"": {""line"": 7, ""column"": 28}, ""data"": ""unsolved goals\nInt : Sort ?u.5\nx : Int\n\u22a2 Int""}]",True,False,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 46}, ""endPos"": null, ""data"": ""expected token""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 37}, ""endPos"": {""line"": 14, ""column"": 45}, ""data"": ""unknown constant 'Unit'""}]"
unreach-call,8,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 56}, ""endPos"": {""line"": 15, ""column"": 5}, ""data"": ""unexpected token 'try'; expected '{' or tactic""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 22}, ""endPos"": {""line"": 14, ""column"": 50}, ""data"": ""unknown constant 'Unit'""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 54}, ""endPos"": {""line"": 14, ""column"": 56}, ""data"": ""unsolved goals\nx\u271d : Sort u_1\nSpec : x\u271d\n\u22a2 (?m.6 : Sort ?u.5)""}]",False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 29}, ""endPos"": null, ""data"": ""expected token""}]"
termination,9,False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 21}, ""endPos"": {""line"": 15, ""column"": 22}, ""data"": ""unexpected token ')'; expected '_' or identifier""}]",False,,no code
no-overflow,10,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 21}, ""endPos"": {""line"": 15, ""column"": 22}, ""data"": ""unexpected token ')'; expected '_' or identifier""}]",False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 21}, ""endPos"": {""line"": 14, ""column"": 22}, ""data"": ""unexpected token ')'; expected '_' or identifier""}]"
