property,original_index,s123_pass,s123_complete,s123_errors,s999_pass,s999_complete,s999_errors,s42_pass,s42_complete,s42_errors
no-overflow,0,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 7}, ""endPos"": {""line"": 8, ""column"": 14}, ""data"": ""unexpected token 'termination_by'; expected 'else'""}]",True,True,[],True,True,[]
valid-memsafety,1,True,True,[],True,True,[],True,True,[]
unreach-call,2,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 6}, ""endPos"": {""line"": 15, ""column"": 11}, ""data"": ""'id_eq' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}, {""severity"": ""error"", ""pos"": {""line"": 15, ""column"": 6}, ""endPos"": {""line"": 15, ""column"": 11}, ""data"": ""'id_eq' has already been declared""}]"
no-overflow,3,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 19}, ""endPos"": {""line"": 5, ""column"": 9}, ""data"": ""unexpected token 'let'; expected 'else'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 19}, ""endPos"": {""line"": 6, ""column"": 9}, ""data"": ""unexpected token 'let'; expected 'else'""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 5, ""column"": 15}, ""endPos"": {""line"": 6, ""column"": 10}, ""data"": ""unexpected token 'set_option'; expected 'else'""}]"
termination,4,False,,no code,True,True,[],True,True,[]
termination,5,False,,no code,False,False,,True,True,[]
unreach-call,6,True,True,[],False,,no code,True,True,[]
unreach-call,7,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 20}, ""endPos"": {""line"": 5, ""column"": 9}, ""data"": ""unexpected token 'let'; expected 'else'""}]"
unreach-call,8,False,,no code,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 8}, ""endPos"": {""line"": 13, ""column"": 9}, ""data"": ""unexpected token '('; expected ':=', 'where' or '|'""}]"
termination,9,True,True,[],True,True,[],True,True,[]
no-overflow,10,False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 7, ""column"": 13}, ""endPos"": {""line"": 8, ""column"": 10}, ""data"": ""unexpected token 'set_option'; expected 'else'""}]",True,True,[]
def-behavior,11,False,,no code,True,True,[],True,True,[]
valid-memsafety,12,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 11, ""column"": 2}, ""endPos"": null, ""data"": ""expected '{' or indented tactic sequence""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 57}, ""endPos"": {""line"": 13, ""column"": 58}, ""data"": ""failed to synthesize\n  OfNat Char (nat_lit 1)\nnumerals are polymorphic in Lean, but the numeral `1` cannot be used in a context where the expected type is\n  Char\ndue to the absence of the instance above\nAdditional diagnostic information may be available using the `set_option diagnostics true` command.""}, {""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 18}, ""endPos"": {""line"": 14, ""column"": 19}, ""data"": ""failed to synthesize\n  OfNat UInt (nat_lit 1)\nnumerals are polymorphic in Lean, but the numeral `1` cannot be used in a context where the expected type is\n  UInt\ndue to the absence of the instance above\nAdditional diagnostic information may be available using the `set_option diagnostics true` command.""}, {""severity"": ""error"", ""pos"": {""line"": 17, ""column"": 13}, ""endPos"": {""line"": 17, ""column"": 37}, ""data"": ""maximum recursion depth has been reached\nuse `set_option maxRecDepth <num>` to increase limit\nuse `set_option diagnostics true` to get diagnostic information""}]"
no-overflow,13,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 21, ""column"": 13}, ""endPos"": {""line"": 22, ""column"": 73}, ""data"": ""unsolved goals\nn : \u2115\n\u22a2 hanoiSteps n + (1 : \u2115) + hanoiSteps n = (2 : \u2115) * hanoiSteps n + (1 : \u2115)""}, {""severity"": ""error"", ""pos"": {""line"": 23, ""column"": 27}, ""endPos"": {""line"": 23, ""column"": 31}, ""data"": ""unexpected token 'from'; expected '_' or identifier""}]",True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 10}, ""endPos"": {""line"": 9, ""column"": 15}, ""data"": ""unexpected token 'from'; expected term""}, {""severity"": ""error"", ""pos"": {""line"": 21, ""column"": 30}, ""endPos"": {""line"": 21, ""column"": 35}, ""data"": ""unexpected token 'from'; expected ')'""}]"
def-behavior,14,True,True,[],False,,no code,True,True,[]
no-overflow,15,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 4}, ""endPos"": {""line"": 13, ""column"": 29}, ""data"": ""function expected at\n  correct_version\nterm has type\n  (?m.6 : Sort ?u.5)""}, {""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 32}, ""endPos"": {""line"": 13, ""column"": 57}, ""data"": ""function expected at\n  student_version\nterm has type\n  (?m.16 : Sort ?u.15)""}]",True,True,[],True,True,[]
valid-memsafety,16,True,True,[],False,,no code,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 8}, ""endPos"": {""line"": 13, ""column"": 9}, ""data"": ""unexpected token '('; expected ')', ',' or ':'""}]"
termination,17,True,True,[],False,,no code,True,True,[]
unreach-call,18,False,,no code,False,,no code,False,,no code
termination,19,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 22}, ""endPos"": {""line"": 7, ""column"": 9}, ""data"": ""unexpected token 'while'; expected term""}]",False,False,,False,False,
no-overflow,20,True,True,[],True,True,[],False,False,
termination,21,True,True,[],True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 6, ""column"": 10}, ""endPos"": {""line"": 7, ""column"": 10}, ""data"": ""unexpected token 'set_option'; expected 'else'""}]"
termination,22,False,,no code,True,True,[],True,True,[]
unreach-call,23,False,False,,True,True,[],False,False,
unreach-call,24,False,,no code,False,,no code,True,True,[]
def-behavior,25,True,True,[],True,True,[],True,True,[]
valid-memsafety,26,False,,no code,False,,no code,True,True,[]
unreach-call,27,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 14, ""column"": 8}, ""endPos"": {""line"": 14, ""column"": 9}, ""data"": ""unexpected token '('; expected ':=', 'where' or '|'""}]",True,True,[]
