property,original_index,s999_pass,s999_complete,s999_errors,s123_pass,s123_complete,s123_errors,s42_pass,s42_complete,s42_errors
no-overflow,0,True,True,[],True,True,[],True,True,[]
valid-memsafety,1,True,True,[],True,True,[],True,True,[]
unreach-call,2,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]"
no-overflow,3,True,True,[],True,True,[],True,True,[]
termination,4,True,True,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 23}, ""endPos"": {""line"": 8, ""column"": 32}, ""data"": ""unexpected identifier; expected '.' or '|'""}, {""severity"": ""error"", ""pos"": {""line"": 8, ""column"": 42}, ""endPos"": {""line"": 8, ""column"": 45}, ""data"": ""invalid 'end', insufficient scopes""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 2}, ""endPos"": {""line"": 9, ""column"": 5}, ""data"": ""unexpected token 'let'; expected command""}, {""severity"": ""error"", ""pos"": {""line"": 9, ""column"": 42}, ""endPos"": {""line"": 9, ""column"": 45}, ""data"": ""invalid 'end', insufficient scopes""}, {""severity"": ""error"", ""pos"": {""line"": 10, ""column"": 2}, ""endPos"": {""line"": 10, ""column"": 4}, ""data"": ""unexpected token 'if'; expected command""}, {""severity"": ""error"", ""pos"": {""line"": 24, ""column"": 8}, ""endPos"": {""line"": 24, ""column"": 35}, ""data"": ""typeclass instance problem is stuck, it is often due to metavariables\n  LT (?m.1127 : Type ?u.1123)""}]",True,True,[]
termination,5,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 13, ""column"": 20}, ""endPos"": {""line"": 14, ""column"": 8}, ""data"": ""unexpected identifier; expected 'else'""}]",True,True,[],True,True,[]
unreach-call,6,True,True,[],True,True,[],True,True,[]
unreach-call,7,False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 33}, ""endPos"": null, ""data"": ""expected ';' or line break""}]"
unreach-call,8,True,True,[],True,True,[],True,True,[]
termination,9,True,False,[],False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 8}, ""data"": ""'bool' has already been declared""}]",False,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 10}, ""endPos"": {""line"": 2, ""column"": 14}, ""data"": ""'Bool' has already been declared""}]"
