property,original_index,s42_pass,s42_errors,s123_pass,s123_errors,s999_pass,s999_errors,s123_complete,s999_complete,s42_complete
no-overflow,0,False,no code,False,no code,False,no code,,,
valid-memsafety,1,False,no code,False,no code,False,no code,,,
unreach-call,2,False,no code,False,"[{""severity"": ""error"", ""pos"": {""line"": 2, ""column"": 4}, ""endPos"": {""line"": 2, ""column"": 6}, ""data"": ""'id' has already been declared""}]",False,no code,False,,
no-overflow,3,False,no code,False,no code,False,no code,,,
termination,4,False,no code,False,no code,False,no code,,,
termination,5,False,no code,False,no code,False,no code,,,
unreach-call,6,False,no code,False,no code,False,no code,,,
unreach-call,7,False,no code,False,no code,False,no code,,,
unreach-call,8,False,no code,False,no code,False,no code,,,
termination,9,False,no code,False,no code,False,no code,,,
no-overflow,10,False,no code,False,no code,False,"[{""severity"": ""error"", ""pos"": {""line"": 3, ""column"": 45}, ""endPos"": {""line"": 3, ""column"": 48}, ""data"": ""unexpected token '=>'; expected ':=', 'where' or '|'""}, {""severity"": ""error"", ""pos"": {""line"": 4, ""column"": 14}, ""endPos"": {""line"": 4, ""column"": 17}, ""data"": ""unexpected token '=>'; expected ':=', 'where' or '|'""}]",,False,
def-behavior,11,False,no code,False,no code,False,no code,,,
valid-memsafety,12,False,no code,False,no code,False,no code,,,
no-overflow,13,False,no code,False,no code,False,no code,,,
def-behavior,14,False,no code,False,no code,False,no code,,,
