model,temperature,seed,bleu_representativeness,folder
deepseek-r1-14b,0.5,999,0.0,termination-crafted
deepseek-r1-14b,0.5,123,0.0,loops-crafted-1
deepseek-r1-14b,0.5,999,0.0,loops-crafted-1
deepseek-r1-14b,0.5,123,0.0,termination-nla
deepseek-r1-14b,0.5,123,0.1838,recursive-simple
deepseek-r1-14b,0.5,42,0.0,recursive-simple
deepseek-r1-14b,0.5,123,0.0,loop-acceleration
deepseek-r1-14b,0.5,123,0.0001,recursive-simple
deepseek-r1-14b,0.5,999,0.1222,recursive-simple
deepseek-r1-14b,0.5,42,0.0,recursive-simple
deepseek-r1-14b,0.5,42,0.0,loops-crafted-1
deepseek-r1-14b,0.5,42,0.0078,recursive-simple
deepseek-r1-14b,0.5,42,0.3131,loop-acceleration
deepseek-r1-14b,0.5,999,0.0202,loop-acceleration
deepseek-r1-14b,0.5,999,0.0,termination-crafted-lit
deepseek-r1-14b,0.5,42,0.0016,termination-crafted-lit
deepseek-r1-14b,0.5,42,0.0,termination-crafted-lit
deepseek-r1-14b,0.5,123,0.117,termination-numeric
deepseek-r1-14b,0.5,42,0.0472,termination-nla
deepseek-r1-14b,0.5,999,0.0953,loops
deepseek-r1-14b,0.5,999,0.0016,termination-crafted-lit
deepseek-r1-14b,0.5,999,0.0045,termination-numeric
deepseek-r1-14b,0.5,123,0.0004,termination-crafted
deepseek-r1-14b,0.5,42,0.0,termination-crafted
deepseek-r1-14b,0.5,999,0.0052,recursive-simple
deepseek-r1-14b,0.5,999,0.0441,termination-crafted
deepseek-r1-14b,0.5,123,0.0172,loops
deepseek-r1-14b,0.5,123,0.0607,termination-crafted-lit
deepseek-r1-14b,0.5,42,0.1996,loops
deepseek-r1-14b,0.5,123,0.1382,loops
deepseek-r1-14b,0.5,999,0.0008,termination-crafted
deepseek-r1-14b,0.5,123,0.0,loops-crafted-1
deepseek-r1-14b,0.5,123,0.1474,recursive-simple
deepseek-r1-14b,0.5,123,0.0,termination-crafted
deepseek-r1-14b,0.5,42,0.2407,termination-crafted
deepseek-r1-14b,0.5,42,0.1346,termination-crafted
deepseek-r1-14b,0.5,42,0.0,termination-crafted
deepseek-r1-14b,0.5,999,0.0,termination-nla
deepseek-r1-14b,0.5,42,0.033,recursive
deepseek-r1-14b,0.5,123,0.1165,recursive-simple
deepseek-r1-14b,0.5,123,0.0398,termination-restricted-15
deepseek-r1-14b,0.5,42,0.0069,termination-numeric
deepseek-r1-14b,0.5,999,0.1583,termination-restricted-15
deepseek-r1-14b,0.5,42,0.0,termination-numeric
deepseek-r1-14b,0.5,42,0.0969,loops-crafted-1
deepseek-r1-14b,0.5,999,0.0,termination-numeric
deepseek-r1-14b,0.5,42,0.1373,recursive-simple
deepseek-r1-14b,0.5,42,0.0725,termination-restricted-15
deepseek-r1-14b,0.5,999,0.2323,termination-crafted
deepseek-r1-14b,0.5,999,0.3607,recursive
deepseek-r1-14b,0.5,42,0.1428,termination-restricted-15
deepseek-r1-14b,0.5,999,0.0652,recursive-simple
deepseek-r1-14b,0.5,123,0.0041,termination-crafted-lit
deepseek-r1-14b,0.5,123,0.1181,termination-crafted-lit
deepseek-r1-14b,0.5,42,0.0006,termination-bwb
deepseek-r1-14b,0.5,999,0.0646,termination-crafted-lit
deepseek-r1-14b,0.5,123,0.273,termination-numeric
deepseek-r1-14b,0.5,999,0.1285,loops-crafted-1
deepseek-r1-14b,0.5,999,0.0,array-fpi
deepseek-r1-14b,0.5,999,0.3655,termination-bwb
deepseek-r1-14b,0.5,123,0.0995,termination-restricted-15
deepseek-r1-14b,0.5,42,0.0369,termination-crafted-lit
deepseek-r1-14b,0.5,42,0.0,array-fpi
deepseek-r1-14b,0.5,42,0.0,recursive
deepseek-r1-14b,0.5,123,0.0522,termination-crafted
deepseek-r1-14b,0.5,123,0.0611,termination-crafted
deepseek-r1-14b,0.5,999,0.2492,loops
deepseek-r1-14b,0.5,123,0.0695,recursive
deepseek-r1-14b,0.5,123,0.0,loops
deepseek-r1-14b,0.5,42,0.0401,termination-crafted
deepseek-r1-14b,0.5,123,0.0001,loop-acceleration
deepseek-r1-14b,0.5,999,0.2305,loops
deepseek-r1-14b,0.5,999,0.0811,termination-restricted-15
deepseek-r1-14b,0.5,123,0.1451,array-fpi
deepseek-r1-14b,0.5,999,0.0,loop-acceleration
deepseek-r1-14b,0.5,999,0.0,bitvector
deepseek-r1-14b,0.5,999,0.0002,termination-crafted
deepseek-r1-14b,0.5,999,0.0001,array-fpi
deepseek-r1-14b,0.5,42,0.1924,loops
deepseek-r1-14b,0.5,123,0.0,loop-invgen
deepseek-r1-14b,0.5,42,0.0,bitvector
deepseek-r1-14b,0.5,42,0.0,loop-invgen
deepseek-r1-14b,0.5,123,0.0,bitvector
deepseek-r1-14b,0.5,42,0.0,termination-crafted-lit
deepseek-r1-14b,0.5,123,0.2385,termination-bwb
deepseek-r1-14b,0.5,123,0.0646,recursive
deepseek-r1-14b,0.5,123,0.3538,termination-crafted
deepseek-r1-14b,0.5,999,0.0,loop-invgen
deepseek-r1-14b,0.5,42,0.0013,loops
deepseek-r1-14b,0.5,42,0.0,termination-crafted
deepseek-r1-14b,0.5,123,0.0624,termination-crafted
deepseek-r1-14b,0.5,999,0.1949,recursive
deepseek-r1-14b,0.5,42,0.3538,termination-crafted
deepseek-r1-14b,0.5,999,0.2806,termination-crafted
deepseek-r1-14b,0.5,999,0.0003,termination-crafted
deepseek-r1-14b,0.5,999,0.0186,termination-crafted
deepseek-r1-14b,0.5,999,0.1373,recursive-simple
deepseek-r1-14b,0.5,42,0.4237,array-memsafety
deepseek-r1-14b,0.5,123,0.1433,termination-crafted
deepseek-r1-14b,0.5,999,0.3008,termination-crafted-lit
deepseek-r1-14b,0.5,123,0.0,loop-industry-pattern
deepseek-r1-14b,0.5,123,0.1934,termination-crafted
deepseek-r1-14b,0.5,42,0.1058,termination-crafted
deepseek-r1-14b,0.5,999,0.2584,array-memsafety
deepseek-r1-14b,0.5,123,0.0324,termination-crafted
deepseek-r1-14b,0.5,123,0.2846,array-memsafety
deepseek-r1-14b,0.5,123,0.0,loops
deepseek-r1-14b,0.5,999,0.0001,loops
deepseek-r1-14b,0.5,42,0.0749,termination-nla
deepseek-r1-14b,0.5,999,0.0935,bitvector
deepseek-r1-14b,0.5,999,0.0002,termination-nla
deepseek-r1-14b,0.5,42,0.0001,recursive-simple
deepseek-r1-14b,0.5,999,0.313,termination-crafted
deepseek-r1-14b,0.5,123,0.0004,termination-restricted-15
deepseek-r1-14b,0.5,123,0.0234,termination-nla
deepseek-r1-14b,0.5,123,0.0681,termination-crafted-lit
deepseek-r1-14b,0.5,999,0.0,termination-restricted-15
deepseek-r1-14b,0.5,42,0.0717,termination-crafted
deepseek-r1-14b,0.5,42,0.0006,loop-industry-pattern
deepseek-r1-14b,0.5,42,0.0965,termination-restricted-15
deepseek-r1-14b,0.5,42,0.0002,termination-restricted-15
deepseek-r1-14b,0.5,123,0.0,termination-restricted-15
deepseek-r1-14b,0.5,42,0.0,termination-restricted-15
deepseek-r1-14b,0.5,999,0.0,array-fpi
deepseek-r1-14b,0.5,123,0.3706,termination-restricted-15
deepseek-r1-14b,0.5,999,0.3325,termination-restricted-15
