model,temperature,seed,bleu_representativeness,folder
gemini-2.5-flash-lite,0.5,123,0.1402,recursive-simple
gemini-2.5-flash-lite,0.5,999,0.0002,termination-numeric
gemini-2.5-flash-lite,0.5,999,0.0,termination-crafted
gemini-2.5-flash-lite,0.5,42,0.0,termination-nla
gemini-2.5-flash-lite,0.5,123,0.0,termination-numeric
gemini-2.5-flash-lite,0.5,123,0.0,termination-nla
gemini-2.5-flash-lite,0.5,123,0.2836,recursive-simple
gemini-2.5-flash-lite,0.5,999,0.3978,recursive-simple
gemini-2.5-flash-lite,0.5,42,0.1012,recursive-simple
gemini-2.5-flash-lite,0.5,42,0.0,loop-acceleration
gemini-2.5-flash-lite,0.5,999,0.1956,recursive-simple
gemini-2.5-flash-lite,0.5,42,0.0,termination-crafted-lit
gemini-2.5-flash-lite,0.5,123,0.14,loop-acceleration
gemini-2.5-flash-lite,0.5,999,0.0005,loops-crafted-1
gemini-2.5-flash-lite,0.5,123,0.0241,termination-crafted-lit
gemini-2.5-flash-lite,0.5,42,0.1619,recursive-simple
gemini-2.5-flash-lite,0.5,42,0.0001,termination-crafted-lit
gemini-2.5-flash-lite,0.5,123,0.075,recursive-simple
gemini-2.5-flash-lite,0.5,999,0.0,termination-crafted-lit
gemini-2.5-flash-lite,0.5,123,0.0646,termination-crafted
gemini-2.5-flash-lite,0.5,42,0.0,loops
gemini-2.5-flash-lite,0.5,999,0.0316,termination-nla
gemini-2.5-flash-lite,0.5,42,0.2775,recursive-simple
gemini-2.5-flash-lite,0.5,123,0.0447,loops-crafted-1
gemini-2.5-flash-lite,0.5,999,0.0856,termination-crafted-lit
gemini-2.5-flash-lite,0.5,123,0.0233,loops
gemini-2.5-flash-lite,0.5,999,0.0,loops
gemini-2.5-flash-lite,0.5,42,0.0133,loops-crafted-1
gemini-2.5-flash-lite,0.5,999,0.2682,recursive-simple
gemini-2.5-flash-lite,0.5,999,0.2564,loop-acceleration
gemini-2.5-flash-lite,0.5,999,0.115,termination-crafted
gemini-2.5-flash-lite,0.5,42,0.1547,termination-crafted
gemini-2.5-flash-lite,0.5,42,0.1244,termination-numeric
gemini-2.5-flash-lite,0.5,42,0.1832,recursive
gemini-2.5-flash-lite,0.5,999,0.0143,loops-crafted-1
gemini-2.5-flash-lite,0.5,123,0.0105,recursive
gemini-2.5-flash-lite,0.5,123,0.0627,termination-crafted-lit
gemini-2.5-flash-lite,0.5,123,0.1724,termination-crafted
gemini-2.5-flash-lite,0.5,999,0.2179,recursive
