model,temperature,seed,bleu_representativeness,folder
gpt-4o-mini,0.5,42,0.2621,termination-numeric
gpt-4o-mini,0.5,999,0.039,termination-crafted
gpt-4o-mini,0.5,42,0.2964,recursive-simple
gpt-4o-mini,0.5,42,0.4914,loop-acceleration
gpt-4o-mini,0.5,123,0.2163,loop-acceleration
gpt-4o-mini,0.5,123,0.04,termination-crafted
gpt-4o-mini,0.5,123,0.408,recursive-simple
gpt-4o-mini,0.5,42,0.316,recursive-simple
gpt-4o-mini,0.5,123,0.1531,termination-numeric
gpt-4o-mini,0.5,999,0.4134,recursive-simple
gpt-4o-mini,0.5,42,0.2059,recursive-simple
gpt-4o-mini,0.5,999,0.3233,recursive-simple
gpt-4o-mini,0.5,999,0.3194,termination-numeric
gpt-4o-mini,0.5,999,0.1631,loop-acceleration
gpt-4o-mini,0.5,123,0.1799,termination-nla
gpt-4o-mini,0.5,42,0.2385,termination-nla
gpt-4o-mini,0.5,999,0.2599,recursive-simple
gpt-4o-mini,0.5,42,0.1646,termination-crafted
gpt-4o-mini,0.5,999,0.1081,termination-crafted-lit
gpt-4o-mini,0.5,999,0.5296,loops
gpt-4o-mini,0.5,123,0.1552,termination-crafted-lit
gpt-4o-mini,0.5,42,0.1357,termination-crafted-lit
gpt-4o-mini,0.5,42,0.1132,termination-crafted
gpt-4o-mini,0.5,123,0.1817,termination-crafted
gpt-4o-mini,0.5,999,0.1319,loops-crafted-1
gpt-4o-mini,0.5,999,0.0952,termination-nla
gpt-4o-mini,0.5,999,0.2668,loops
gpt-4o-mini,0.5,42,0.3722,termination-crafted
gpt-4o-mini,0.5,999,0.2845,recursive
gpt-4o-mini,0.5,42,0.3393,loops
gpt-4o-mini,0.5,42,0.3641,termination-crafted-lit
gpt-4o-mini,0.5,123,0.1018,loops-crafted-1
gpt-4o-mini,0.5,999,0.5042,termination-crafted
gpt-4o-mini,0.5,42,0.2501,loops-crafted-1
gpt-4o-mini,0.5,999,0.1937,loops-crafted-1
gpt-4o-mini,0.5,999,0.1978,termination-crafted-lit
gpt-4o-mini,0.5,42,0.1032,termination-crafted
gpt-4o-mini,0.5,999,0.6303,termination-restricted-15
gpt-4o-mini,0.5,999,0.1117,termination-crafted
gpt-4o-mini,0.5,123,0.2627,loops-crafted-1
gpt-4o-mini,0.5,42,0.2609,recursive
gpt-4o-mini,0.5,123,0.2041,recursive-simple
gpt-4o-mini,0.5,123,0.1983,termination-crafted
gpt-4o-mini,0.5,999,0.2527,recursive-simple
gpt-4o-mini,0.5,42,0.1547,recursive-simple
gpt-4o-mini,0.5,42,0.1596,loops
gpt-4o-mini,0.5,42,0.2339,termination-numeric
gpt-4o-mini,0.5,999,0.2099,termination-crafted
gpt-4o-mini,0.5,999,0.5011,termination-crafted-lit
gpt-4o-mini,0.5,123,0.1365,termination-restricted-15
gpt-4o-mini,0.5,123,0.4118,loops
gpt-4o-mini,0.5,123,0.2087,termination-numeric
gpt-4o-mini,0.5,999,0.1612,termination-numeric
gpt-4o-mini,0.5,123,0.2473,recursive-simple
gpt-4o-mini,0.5,42,0.1737,termination-bwb
gpt-4o-mini,0.5,123,0.3387,termination-restricted-15
gpt-4o-mini,0.5,123,0.3501,recursive
gpt-4o-mini,0.5,42,0.4504,recursive
gpt-4o-mini,0.5,999,0.2905,recursive
gpt-4o-mini,0.5,999,0.2504,termination-bwb
gpt-4o-mini,0.5,123,0.4386,termination-crafted-lit
gpt-4o-mini,0.5,123,0.1846,termination-crafted-lit
gpt-4o-mini,0.5,123,0.2423,recursive
gpt-4o-mini,0.5,42,0.2603,termination-restricted-15
gpt-4o-mini,0.5,999,0.0882,termination-restricted-15
gpt-4o-mini,0.5,42,0.4796,termination-crafted-lit
gpt-4o-mini,0.5,123,0.1152,loops
gpt-4o-mini,0.5,999,0.1114,termination-crafted
gpt-4o-mini,0.5,42,0.3377,termination-restricted-15
gpt-4o-mini,0.5,123,0.3239,array-fpi
gpt-4o-mini,0.5,999,0.0494,array-fpi
gpt-4o-mini,0.5,42,0.1587,loop-acceleration
gpt-4o-mini,0.5,123,0.1714,recursive-simple
gpt-4o-mini,0.5,123,0.0443,loop-acceleration
gpt-4o-mini,0.5,123,0.2783,loops
gpt-4o-mini,0.5,999,0.3264,array-fpi
gpt-4o-mini,0.5,999,0.0,bitvector
gpt-4o-mini,0.5,42,0.0817,termination-crafted
gpt-4o-mini,0.5,42,0.0811,array-fpi
gpt-4o-mini,0.5,42,0.0,loop-invgen
gpt-4o-mini,0.5,123,0.0671,termination-crafted
gpt-4o-mini,0.5,123,0.0,loop-invgen
gpt-4o-mini,0.5,42,0.1076,loops-crafted-1
gpt-4o-mini,0.5,999,0.0,loop-invgen
gpt-4o-mini,0.5,123,0.3768,termination-crafted
gpt-4o-mini,0.5,42,0.1712,termination-crafted
gpt-4o-mini,0.5,42,0.2841,termination-crafted
gpt-4o-mini,0.5,123,0.2399,termination-bwb
gpt-4o-mini,0.5,42,0.3353,termination-crafted
gpt-4o-mini,0.5,999,0.447,termination-crafted
gpt-4o-mini,0.5,999,0.1355,termination-crafted-lit
gpt-4o-mini,0.5,999,0.2791,termination-crafted
gpt-4o-mini,0.5,123,0.2515,termination-crafted
gpt-4o-mini,0.5,42,0.2802,termination-crafted-lit
gpt-4o-mini,0.5,42,0.0029,bitvector
gpt-4o-mini,0.5,999,0.1793,termination-crafted
gpt-4o-mini,0.5,123,0.3114,array-memsafety
gpt-4o-mini,0.5,42,0.3569,termination-crafted
gpt-4o-mini,0.5,123,0.3891,termination-crafted
gpt-4o-mini,0.5,123,0.1865,termination-crafted-lit
gpt-4o-mini,0.5,999,0.0741,termination-crafted
gpt-4o-mini,0.5,123,0.0022,bitvector
gpt-4o-mini,0.5,42,0.3899,array-fpi
gpt-4o-mini,0.5,123,0.1123,bitvector
gpt-4o-mini,0.5,999,0.1834,loop-acceleration
gpt-4o-mini,0.5,42,0.1443,array-memsafety
gpt-4o-mini,0.5,999,0.1638,bitvector
gpt-4o-mini,0.5,123,0.1334,termination-crafted
gpt-4o-mini,0.5,42,0.1652,bitvector
gpt-4o-mini,0.5,123,0.2914,termination-crafted
gpt-4o-mini,0.5,123,0.3688,array-fpi
gpt-4o-mini,0.5,999,0.1944,loops
gpt-4o-mini,0.5,123,0.0836,termination-nla
gpt-4o-mini,0.5,42,0.4712,loops
gpt-4o-mini,0.5,999,0.4367,recursive-simple
gpt-4o-mini,0.5,999,0.2462,loops
gpt-4o-mini,0.5,999,0.3487,termination-restricted-15
