model,temperature,seed,bleu_representativeness,folder
kimina-prover-1.7b,0.2,42,0.0,recursive-simple
kimina-prover-1.7b,0.2,42,0.0,termination-crafted
kimina-prover-1.7b,0.2,999,0.0,loops-crafted-1
kimina-prover-1.7b,0.2,999,0.0,recursive-simple
kimina-prover-1.7b,0.2,123,0.0,recursive-simple
kimina-prover-1.7b,0.2,123,0.0,termination-crafted
kimina-prover-1.7b,0.2,999,0.0,termination-numeric
kimina-prover-1.7b,0.2,42,0.0,loops-crafted-1
kimina-prover-1.7b,0.2,42,0.0,termination-numeric
kimina-prover-1.7b,0.2,999,0.0,termination-crafted
kimina-prover-1.7b,0.2,42,0.0,loop-acceleration
kimina-prover-1.7b,0.2,123,0.0,termination-numeric
kimina-prover-1.7b,0.2,999,0.0,termination-nla
kimina-prover-1.7b,0.2,123,0.0,loops-crafted-1
kimina-prover-1.7b,0.2,123,0.0,loop-acceleration
kimina-prover-1.7b,0.2,999,0.0,recursive-simple
kimina-prover-1.7b,0.2,123,0.0001,recursive-simple
kimina-prover-1.7b,0.2,42,0.0,termination-nla
kimina-prover-1.7b,0.2,42,0.0,recursive-simple
kimina-prover-1.7b,0.2,999,0.001,termination-crafted-lit
kimina-prover-1.7b,0.2,42,0.0,loops
kimina-prover-1.7b,0.2,999,0.0,recursive-simple
kimina-prover-1.7b,0.2,999,0.0,loops
kimina-prover-1.7b,0.2,999,0.0,loop-acceleration
kimina-prover-1.7b,0.2,42,0.0,recursive-simple
kimina-prover-1.7b,0.2,42,0.0,loops
kimina-prover-1.7b,0.2,123,0.0,termination-crafted-lit
kimina-prover-1.7b,0.2,42,0.0,recursive
kimina-prover-1.7b,0.2,999,0.0,termination-crafted
kimina-prover-1.7b,0.2,123,0.0,termination-crafted
kimina-prover-1.7b,0.2,42,0.0,termination-crafted-lit
kimina-prover-1.7b,0.2,42,0.0,termination-crafted
kimina-prover-1.7b,0.2,123,0.0,termination-crafted-lit
kimina-prover-1.7b,0.2,999,0.0,loops
kimina-prover-1.7b,0.2,123,0.2721,recursive-simple
kimina-prover-1.7b,0.2,42,0.0,termination-crafted
kimina-prover-1.7b,0.2,123,0.0,loops
kimina-prover-1.7b,0.2,123,0.0,loops
kimina-prover-1.7b,0.2,123,0.0,termination-nla
kimina-prover-1.7b,0.2,999,0.0,recursive
kimina-prover-1.7b,0.2,42,0.0,termination-crafted
kimina-prover-1.7b,0.2,999,0.0003,termination-crafted
kimina-prover-1.7b,0.2,123,0.0,termination-crafted
kimina-prover-1.7b,0.2,42,0.0,termination-crafted-lit
kimina-prover-1.7b,0.2,42,0.0,termination-restricted-15
kimina-prover-1.7b,0.2,123,0.0,loops-crafted-1
kimina-prover-1.7b,0.2,999,0.0,termination-restricted-15
kimina-prover-1.7b,0.2,999,0.0006,termination-crafted
kimina-prover-1.7b,0.2,42,0.0,termination-numeric
kimina-prover-1.7b,0.2,123,0.0,termination-restricted-15
kimina-prover-1.7b,0.2,123,0.0,recursive
kimina-prover-1.7b,0.2,123,0.0,termination-crafted
kimina-prover-1.7b,0.2,42,0.0,loops-crafted-1
kimina-prover-1.7b,0.2,999,0.0625,recursive-simple
kimina-prover-1.7b,0.2,999,0.0,termination-restricted-15
kimina-prover-1.7b,0.2,999,0.0,termination-numeric
kimina-prover-1.7b,0.2,42,0.0719,recursive-simple
kimina-prover-1.7b,0.2,999,0.0005,termination-crafted-lit
kimina-prover-1.7b,0.2,123,0.0,termination-numeric
kimina-prover-1.7b,0.2,999,0.0,termination-crafted-lit
kimina-prover-1.7b,0.2,42,0.0,termination-bwb
kimina-prover-1.7b,0.2,999,0.0151,loops-crafted-1
kimina-prover-1.7b,0.2,123,0.0,termination-restricted-15
kimina-prover-1.7b,0.2,123,0.0,array-fpi
kimina-prover-1.7b,0.2,42,0.0,recursive
kimina-prover-1.7b,0.2,123,0.0103,recursive-simple
kimina-prover-1.7b,0.2,42,0.0,termination-crafted-lit
kimina-prover-1.7b,0.2,42,0.0001,termination-restricted-15
kimina-prover-1.7b,0.2,123,0.0,termination-crafted-lit
kimina-prover-1.7b,0.2,123,0.0,termination-crafted
kimina-prover-1.7b,0.2,123,0.0013,termination-bwb
kimina-prover-1.7b,0.2,42,0.0,loop-acceleration
kimina-prover-1.7b,0.2,42,0.0,array-fpi
kimina-prover-1.7b,0.2,999,0.0001,termination-crafted
kimina-prover-1.7b,0.2,999,0.0,loops
kimina-prover-1.7b,0.2,999,0.0,termination-bwb
kimina-prover-1.7b,0.2,999,0.0,loop-acceleration
kimina-prover-1.7b,0.2,123,0.0,array-fpi
kimina-prover-1.7b,0.2,999,0.001,recursive
kimina-prover-1.7b,0.2,999,0.0,array-fpi
kimina-prover-1.7b,0.2,42,0.0,termination-crafted
kimina-prover-1.7b,0.2,42,0.0,array-fpi
kimina-prover-1.7b,0.2,123,0.0,loop-acceleration
kimina-prover-1.7b,0.2,123,0.0,bitvector
kimina-prover-1.7b,0.2,123,0.0,recursive
kimina-prover-1.7b,0.2,123,0.0,loops
kimina-prover-1.7b,0.2,999,0.0,array-fpi
kimina-prover-1.7b,0.2,42,0.0,loops
kimina-prover-1.7b,0.2,42,0.0,loop-invgen
kimina-prover-1.7b,0.2,42,0.0,termination-crafted
kimina-prover-1.7b,0.2,42,0.001,termination-crafted
kimina-prover-1.7b,0.2,123,0.0,termination-crafted
kimina-prover-1.7b,0.2,42,0.0,termination-crafted
kimina-prover-1.7b,0.2,123,0.0,termination-crafted
kimina-prover-1.7b,0.2,42,0.0,bitvector
kimina-prover-1.7b,0.2,123,0.0,loop-invgen
kimina-prover-1.7b,0.2,123,0.0,termination-crafted-lit
kimina-prover-1.7b,0.2,999,0.0001,termination-crafted
kimina-prover-1.7b,0.2,42,0.0001,termination-crafted-lit
kimina-prover-1.7b,0.2,999,0.0025,termination-crafted
kimina-prover-1.7b,0.2,123,0.0,termination-crafted
kimina-prover-1.7b,0.2,123,0.0,termination-crafted
kimina-prover-1.7b,0.2,999,0.0,termination-crafted-lit
kimina-prover-1.7b,0.2,999,0.0,termination-crafted
kimina-prover-1.7b,0.2,123,0.0,loop-industry-pattern
kimina-prover-1.7b,0.2,999,0.0,termination-crafted
kimina-prover-1.7b,0.2,42,0.0,termination-crafted
kimina-prover-1.7b,0.2,42,0.0,array-memsafety
kimina-prover-1.7b,0.2,42,0.0,loops
kimina-prover-1.7b,0.2,42,0.0,loop-industry-pattern
kimina-prover-1.7b,0.2,999,0.0,loops
kimina-prover-1.7b,0.2,123,0.0,bitvector
kimina-prover-1.7b,0.2,999,0.0,loop-industry-pattern
kimina-prover-1.7b,0.2,999,0.0,loop-invgen
kimina-prover-1.7b,0.2,123,0.0,array-memsafety
kimina-prover-1.7b,0.2,42,0.0,termination-nla
kimina-prover-1.7b,0.2,999,0.0,termination-nla
kimina-prover-1.7b,0.2,999,0.0,recursive-simple
kimina-prover-1.7b,0.2,123,0.0,termination-restricted-15
kimina-prover-1.7b,0.2,42,0.0,termination-restricted-15
kimina-prover-1.7b,0.2,123,0.0,termination-restricted-15
kimina-prover-1.7b,0.2,42,0.0,recursive-simple
kimina-prover-1.7b,0.2,123,0.0,termination-nla
kimina-prover-1.7b,0.2,42,0.0836,bitvector
kimina-prover-1.7b,0.2,123,0.0,termination-restricted-15
kimina-prover-1.7b,0.2,123,0.0,recursive-simple
kimina-prover-1.7b,0.2,123,0.0817,loops
kimina-prover-1.7b,0.2,42,0.0,termination-nla
kimina-prover-1.7b,0.2,123,0.0001,termination-nla
kimina-prover-1.7b,0.2,42,0.0013,termination-restricted-15
kimina-prover-1.7b,0.2,999,0.0,termination-nla
kimina-prover-1.7b,0.2,999,0.0,bitvector
kimina-prover-1.7b,0.2,42,0.5129,termination-restricted-15
kimina-prover-1.7b,0.2,42,0.0,array-fpi
kimina-prover-1.7b,0.2,123,0.0,termination-bwb
kimina-prover-1.7b,0.2,999,0.0,termination-restricted-15
kimina-prover-1.7b,0.2,999,0.0,array-memsafety
kimina-prover-1.7b,0.2,123,0.0,loops-crafted-1
kimina-prover-1.7b,0.2,999,0.0051,termination-restricted-15
kimina-prover-1.7b,0.2,123,0.0,loop-acceleration
kimina-prover-1.7b,0.2,999,0.0001,termination-bwb
kimina-prover-1.7b,0.2,42,0.0,loops-crafted-1
kimina-prover-1.7b,0.2,123,0.0,array-fpi
kimina-prover-1.7b,0.2,42,0.0,termination-bwb
kimina-prover-1.7b,0.2,999,0.0,termination-restricted-15
kimina-prover-1.7b,0.2,999,0.0,loops-crafted-1
kimina-prover-1.7b,0.2,999,0.0,loop-acceleration
kimina-prover-1.7b,0.2,42,0.0,loop-acceleration
kimina-prover-1.7b,0.2,999,0.0,bitvector
kimina-prover-1.7b,0.2,999,0.0143,array-fpi
