model,temperature,seed,bleu_representativeness,folder
qwen2.5-32b,0.5,42,0.1455,recursive-simple
qwen2.5-32b,0.5,123,0.3124,loop-acceleration
qwen2.5-32b,0.5,42,0.0118,termination-nla
qwen2.5-32b,0.5,42,0.1228,termination-crafted
qwen2.5-32b,0.5,42,0.3015,loop-acceleration
qwen2.5-32b,0.5,999,0.0759,termination-crafted
qwen2.5-32b,0.5,999,0.1048,recursive-simple
qwen2.5-32b,0.5,42,0.1298,recursive-simple
qwen2.5-32b,0.5,999,0.4999,loop-acceleration
qwen2.5-32b,0.5,999,0.272,recursive-simple
qwen2.5-32b,0.5,42,0.4483,loops
qwen2.5-32b,0.5,123,0.268,termination-crafted-lit
qwen2.5-32b,0.5,42,0.1566,recursive-simple
qwen2.5-32b,0.5,999,0.2008,recursive-simple
qwen2.5-32b,0.5,123,0.2186,recursive-simple
qwen2.5-32b,0.5,123,0.1904,termination-numeric
qwen2.5-32b,0.5,123,0.4113,loops
qwen2.5-32b,0.5,999,0.0118,termination-nla
qwen2.5-32b,0.5,123,0.2893,recursive-simple
qwen2.5-32b,0.5,42,0.2451,termination-numeric
qwen2.5-32b,0.5,123,0.3085,termination-crafted
qwen2.5-32b,0.5,999,0.4859,loops
qwen2.5-32b,0.5,123,0.0788,termination-crafted
qwen2.5-32b,0.5,123,0.2305,termination-crafted-lit
qwen2.5-32b,0.5,123,0.2487,termination-nla
qwen2.5-32b,0.5,42,0.1131,termination-crafted-lit
qwen2.5-32b,0.5,999,0.2079,termination-crafted
qwen2.5-32b,0.5,42,0.0612,termination-crafted
qwen2.5-32b,0.5,42,0.2556,loops
qwen2.5-32b,0.5,999,0.0692,termination-numeric
qwen2.5-32b,0.5,42,0.2511,loops-crafted-1
qwen2.5-32b,0.5,123,0.1581,recursive-simple
qwen2.5-32b,0.5,123,0.1355,loops-crafted-1
qwen2.5-32b,0.5,123,0.2336,recursive
qwen2.5-32b,0.5,42,0.0997,recursive
qwen2.5-32b,0.5,999,0.095,recursive
qwen2.5-32b,0.5,123,0.2233,loops-crafted-1
qwen2.5-32b,0.5,42,0.303,termination-crafted
qwen2.5-32b,0.5,123,0.6303,termination-restricted-15
qwen2.5-32b,0.5,42,0.1674,termination-restricted-15
qwen2.5-32b,0.5,42,0.0057,recursive-simple
qwen2.5-32b,0.5,999,0.5159,termination-crafted
qwen2.5-32b,0.5,999,0.2519,loops-crafted-1
qwen2.5-32b,0.5,123,0.1616,recursive-simple
qwen2.5-32b,0.5,999,0.1223,termination-crafted-lit
qwen2.5-32b,0.5,999,0.25,recursive-simple
qwen2.5-32b,0.5,123,0.1218,termination-crafted
qwen2.5-32b,0.5,42,0.3559,termination-numeric
qwen2.5-32b,0.5,123,0.6596,termination-numeric
qwen2.5-32b,0.5,42,0.2376,loops-crafted-1
qwen2.5-32b,0.5,999,0.2273,termination-crafted-lit
qwen2.5-32b,0.5,999,0.1583,loops
qwen2.5-32b,0.5,42,0.1825,termination-restricted-15
qwen2.5-32b,0.5,999,0.0251,termination-restricted-15
qwen2.5-32b,0.5,123,0.1516,termination-bwb
qwen2.5-32b,0.5,42,0.3044,recursive
qwen2.5-32b,0.5,999,0.3535,termination-numeric
qwen2.5-32b,0.5,123,0.1904,loops
qwen2.5-32b,0.5,999,0.3793,recursive
qwen2.5-32b,0.5,999,0.3238,termination-crafted-lit
qwen2.5-32b,0.5,999,0.1768,termination-bwb
qwen2.5-32b,0.5,42,0.2054,termination-crafted-lit
qwen2.5-32b,0.5,123,0.0036,array-fpi
qwen2.5-32b,0.5,42,0.0485,array-fpi
qwen2.5-32b,0.5,999,0.0,array-fpi
qwen2.5-32b,0.5,999,0.3079,termination-crafted
qwen2.5-32b,0.5,999,0.1617,loops-crafted-1
qwen2.5-32b,0.5,42,0.0894,termination-bwb
qwen2.5-32b,0.5,123,0.1291,recursive
qwen2.5-32b,0.5,123,0.1451,termination-crafted-lit
qwen2.5-32b,0.5,999,0.3763,loops
qwen2.5-32b,0.5,42,0.064,termination-crafted
qwen2.5-32b,0.5,123,0.3695,termination-crafted
qwen2.5-32b,0.5,123,0.1004,loop-acceleration
qwen2.5-32b,0.5,42,0.1732,loop-acceleration
qwen2.5-32b,0.5,123,0.5414,loops
qwen2.5-32b,0.5,999,0.3294,loop-acceleration
qwen2.5-32b,0.5,42,0.0,loop-invgen
qwen2.5-32b,0.5,123,0.2291,termination-restricted-15
qwen2.5-32b,0.5,123,0.0,loop-invgen
qwen2.5-32b,0.5,123,0.1768,termination-crafted
qwen2.5-32b,0.5,42,0.4155,termination-crafted
qwen2.5-32b,0.5,999,0.2046,array-fpi
qwen2.5-32b,0.5,999,0.0151,bitvector
qwen2.5-32b,0.5,999,0.1742,termination-crafted
qwen2.5-32b,0.5,42,0.3608,termination-crafted
qwen2.5-32b,0.5,123,0.2502,termination-crafted
qwen2.5-32b,0.5,999,0.0,loop-invgen
qwen2.5-32b,0.5,123,0.2369,termination-crafted
qwen2.5-32b,0.5,999,0.1744,termination-crafted-lit
qwen2.5-32b,0.5,42,0.1066,termination-crafted
qwen2.5-32b,0.5,123,0.0486,bitvector
qwen2.5-32b,0.5,999,0.0929,termination-crafted
qwen2.5-32b,0.5,123,0.3279,array-fpi
qwen2.5-32b,0.5,123,0.4953,array-memsafety
qwen2.5-32b,0.5,999,0.0362,termination-restricted-15
qwen2.5-32b,0.5,999,0.1331,termination-crafted
qwen2.5-32b,0.5,42,0.5091,array-memsafety
qwen2.5-32b,0.5,42,0.0767,termination-crafted-lit
qwen2.5-32b,0.5,42,0.0324,bitvector
qwen2.5-32b,0.5,999,0.1838,array-memsafety
qwen2.5-32b,0.5,123,0.1702,bitvector
qwen2.5-32b,0.5,123,0.2601,termination-crafted
qwen2.5-32b,0.5,42,0.531,loops
qwen2.5-32b,0.5,42,0.1732,bitvector
qwen2.5-32b,0.5,123,0.115,termination-crafted-lit
qwen2.5-32b,0.5,42,0.2707,loops
qwen2.5-32b,0.5,123,0.0119,termination-nla
qwen2.5-32b,0.5,123,0.2361,loops
qwen2.5-32b,0.5,123,0.3746,termination-crafted
qwen2.5-32b,0.5,42,0.1974,recursive-simple
qwen2.5-32b,0.5,123,0.1985,recursive-simple
qwen2.5-32b,0.5,123,0.043,loop-industry-pattern
qwen2.5-32b,0.5,999,0.0275,termination-nla
qwen2.5-32b,0.5,999,0.1389,termination-crafted
qwen2.5-32b,0.5,999,0.3541,recursive-simple
qwen2.5-32b,0.5,999,0.1904,loops
qwen2.5-32b,0.5,42,0.316,array-fpi
qwen2.5-32b,0.5,123,0.6579,termination-restricted-15
qwen2.5-32b,0.5,999,0.4529,termination-restricted-15
qwen2.5-32b,0.5,999,0.203,termination-restricted-15
qwen2.5-32b,0.5,42,0.0,termination-restricted-15
qwen2.5-32b,0.5,999,0.0843,termination-crafted
qwen2.5-32b,0.5,123,0.5285,termination-restricted-15
qwen2.5-32b,0.5,42,0.0,array-fpi
qwen2.5-32b,0.5,123,0.143,termination-nla
qwen2.5-32b,0.5,999,0.1624,bitvector
qwen2.5-32b,0.5,42,0.0792,termination-crafted
qwen2.5-32b,0.5,123,0.5562,termination-restricted-15
